,scenario,run,acc,f1_score,auroc
0,0_to_4,0,0.4091,0.4105,0.6464
1,0_to_4,1,0.0227,0.0218,0.3594
2,0_to_4,2,0.3846,0.3849,0.6203
3,0_to_4,3,0.0332,0.0310,0.3246
4,0_to_4,4,0.0105,0.0105,0.3595
5,0_to_5,0,0.2343,0.1657,0.5039
6,0_to_5,1,0.2692,0.2518,0.4914
7,0_to_5,2,0.2762,0.2657,0.5040
8,0_to_5,3,0.2885,0.2826,0.4956
9,0_to_5,4,0.2797,0.2744,0.5024
10,0_to_6,0,0.2932,0.2796,0.4871
11,0_to_6,1,0.2845,0.2663,0.4985
12,0_to_6,2,0.3176,0.3113,0.5069
13,0_to_6,3,0.2984,0.2753,0.4920
14,0_to_6,4,0.3176,0.3145,0.5354
15,0_to_7,0,0.2745,0.2476,0.4935
16,0_to_7,1,0.2780,0.2505,0.4731
17,0_to_7,2,0.2308,0.2000,0.4246
18,0_to_7,3,0.2587,0.2346,0.4593
19,0_to_7,4,0.2937,0.2865,0.4781
20,mean,-,0.2528,0.2382,0.4828
21,std,-,0.1079,0.1079,0.0763
