,scenario,run,acc,f1_score,auroc
0,0_to_4,0,0.3024,0.2238,0.6463
1,0_to_4,1,0.3182,0.2769,0.7097
2,0_to_4,2,0.4091,0.3423,0.6593
3,0_to_4,3,0.3829,0.3209,0.6181
4,0_to_4,4,0.3374,0.2820,0.6373
5,0_to_5,0,0.2587,0.2006,0.6193
6,0_to_5,1,0.2657,0.2150,0.6649
7,0_to_5,2,0.2815,0.2338,0.6158
8,0_to_5,3,0.3077,0.2620,0.5989
9,0_to_5,4,0.2465,0.1881,0.5782
10,0_to_6,0,0.2321,0.1454,0.5930
11,0_to_6,1,0.2565,0.1809,0.5862
12,0_to_6,2,0.2321,0.1523,0.6043
13,0_to_6,3,0.2443,0.1916,0.5437
14,0_to_6,4,0.2304,0.1349,0.5703
15,0_to_7,0,0.2570,0.2018,0.5561
16,0_to_7,1,0.2500,0.2020,0.6007
17,0_to_7,2,0.2832,0.2299,0.5468
18,0_to_7,3,0.2920,0.2502,0.4947
19,0_to_7,4,0.2290,0.1670,0.4623
20,mean,-,0.2808,0.2201,0.5953
21,std,-,0.0503,0.0561,0.0578
