,scenario,run,src_risk,few_shot_risk,trg_risk
0,0_to_4,0,0.0001,3.1646,3.1833
1,0_to_4,1,0.0000,2.1236,2.2729
2,0_to_4,2,0.0000,2.7126,2.6315
3,0_to_4,3,0.0002,2.6664,3.0228
4,0_to_4,4,0.0000,2.8747,2.8905
5,0_to_5,0,0.0001,4.0388,3.3653
6,0_to_5,1,0.0000,2.7117,2.7787
7,0_to_5,2,0.0000,3.4230,3.1269
8,0_to_5,3,0.0002,3.4826,3.3027
9,0_to_5,4,0.0000,3.7642,3.4900
10,0_to_6,0,0.0000,4.6166,4.0831
11,0_to_6,1,0.0000,3.4809,3.6190
12,0_to_6,2,0.0001,3.8759,3.6405
13,0_to_6,3,0.0000,3.8487,3.7570
14,0_to_6,4,0.0001,4.1242,4.1012
15,0_to_7,0,0.0001,4.4495,3.7538
16,0_to_7,1,0.0000,3.0187,3.1989
17,0_to_7,2,0.0000,3.6345,3.6829
18,0_to_7,3,0.0002,3.8676,3.8599
19,0_to_7,4,0.0000,3.7695,4.0974
20,mean,-,0.0001,3.4824,3.3929
21,std,-,0.0001,0.6470,0.5090
