,scenario,run,src_risk,few_shot_risk,trg_risk
0,0_to_4,0,6.8707,0.0001,0.0003
1,0_to_4,1,7.6672,0.0002,0.0003
2,0_to_4,2,7.6801,0.0001,0.0002
3,0_to_4,3,6.1173,0.0043,0.0022
4,0_to_4,4,7.0343,0.0001,0.0001
5,0_to_5,0,8.6936,0.0001,0.0005
6,0_to_5,1,6.5903,0.0110,0.0147
7,0_to_5,2,8.1795,0.0003,0.0006
8,0_to_5,3,7.0048,0.0005,0.0008
9,0_to_5,4,7.3060,0.0004,0.0010
10,0_to_6,0,9.0837,0.0004,0.0004
11,0_to_6,1,9.6336,0.0010,0.0011
12,0_to_6,2,9.4360,0.0001,0.0007
13,0_to_6,3,9.7253,0.0002,0.0004
14,0_to_6,4,9.9045,0.0007,0.0002
15,0_to_7,0,7.1194,0.0001,0.0001
16,0_to_7,1,6.4369,0.0002,0.0001
17,0_to_7,2,7.7887,0.0009,0.0017
18,0_to_7,3,6.8026,0.0002,0.0002
19,0_to_7,4,5.8873,0.0012,0.0011
20,mean,-,7.7481,0.0011,0.0013
21,std,-,1.2636,0.0025,0.0032
