,scenario,run,acc,f1_score,auroc
0,0_to_4,0,0.4021,0.4402,0.6299
1,0_to_4,1,0.3986,0.4323,0.6182
2,0_to_4,2,0.4056,0.4443,0.6245
3,0_to_4,3,0.4738,0.4947,0.6224
4,0_to_4,4,0.3934,0.4327,0.6024
5,0_to_5,0,0.4108,0.4332,0.6574
6,0_to_5,1,0.4895,0.4775,0.7340
7,0_to_5,2,0.4371,0.4482,0.6799
8,0_to_5,3,0.4143,0.4085,0.6632
9,0_to_5,4,0.3759,0.3901,0.6925
10,0_to_6,0,0.4729,0.4880,0.7231
11,0_to_6,1,0.4363,0.4478,0.7150
12,0_to_6,2,0.3647,0.3570,0.6453
13,0_to_6,3,0.5253,0.5213,0.7408
14,0_to_6,4,0.4311,0.4387,0.6756
15,0_to_7,0,0.3374,0.3685,0.6361
16,0_to_7,1,0.4388,0.4495,0.6795
17,0_to_7,2,0.3741,0.3960,0.6208
18,0_to_7,3,0.5140,0.4825,0.6652
19,0_to_7,4,0.3024,0.3212,0.6472
20,mean,-,0.4199,0.4336,0.6636
21,std,-,0.0567,0.0493,0.0410
