,scenario,run,src_risk,few_shot_risk,trg_risk
0,0_to_4,0,0.0005,3.1345,2.8702
1,0_to_4,1,0.0009,2.5210,3.1297
2,0_to_4,2,0.0008,2.8150,2.9692
3,0_to_4,3,0.0004,3.1481,3.1196
4,0_to_4,4,0.0012,3.3232,3.0295
5,0_to_5,0,0.0014,1.6087,1.8185
6,0_to_5,1,0.0015,1.4482,1.6592
7,0_to_5,2,0.0005,2.0122,1.8148
8,0_to_5,3,0.0003,2.1435,1.8949
9,0_to_5,4,0.0013,2.1068,1.8038
10,0_to_6,0,0.0011,1.3086,1.5842
11,0_to_6,1,0.0008,1.2946,1.7644
12,0_to_6,2,0.0008,1.9871,1.9614
13,0_to_6,3,0.0009,1.8252,1.5979
14,0_to_6,4,0.0008,2.0843,1.8527
15,0_to_7,0,0.0026,3.3899,2.5310
16,0_to_7,1,0.0007,2.0329,2.3836
17,0_to_7,2,0.0010,1.9915,2.5302
18,0_to_7,3,0.0005,2.7722,2.7741
19,0_to_7,4,0.0008,2.3208,2.6231
20,mean,-,0.0009,2.2634,2.2856
21,std,-,0.0005,0.6505,0.5619
