,scenario,run,src_risk,few_shot_risk,trg_risk
0,0_to_4,0,0.0001,4.0690,4.1793
1,0_to_4,1,0.0001,3.4247,4.0957
2,0_to_4,2,0.0379,6.4965,5.9474
3,0_to_4,3,0.0003,3.4109,3.3259
4,0_to_4,4,0.0000,3.8311,3.5974
5,0_to_5,0,0.0001,3.1199,3.3975
6,0_to_5,1,0.0001,3.1124,3.0699
7,0_to_5,2,0.0379,5.3815,5.7367
8,0_to_5,3,0.0003,3.0127,2.7825
9,0_to_5,4,0.0000,3.4089,3.4200
10,0_to_6,0,0.0000,3.6982,3.4327
11,0_to_6,1,0.0001,2.5399,3.0145
12,0_to_6,2,0.0002,2.9315,2.7530
13,0_to_6,3,0.0000,3.2523,3.0816
14,0_to_6,4,0.0001,2.4318,2.6797
15,0_to_7,0,0.0001,4.4182,4.0225
16,0_to_7,1,0.0001,2.8891,3.3577
17,0_to_7,2,0.0379,5.8614,5.9923
18,0_to_7,3,0.0003,3.0218,3.0676
19,0_to_7,4,0.0000,4.2185,4.4412
20,mean,-,0.0058,3.7265,3.7697
21,std,-,0.0138,1.0883,1.0345
