,scenario,run,src_risk,few_shot_risk,trg_risk
0,0_to_4,0,3.5875,0.0002,0.0003
1,0_to_4,1,3.9790,0.0001,0.0001
2,0_to_4,2,3.4551,0.0010,0.0013
3,0_to_4,3,2.9288,0.0001,0.0003
4,0_to_4,4,3.7572,0.0000,0.0001
5,0_to_5,0,4.9156,0.0007,0.0007
6,0_to_5,1,4.4625,0.0001,0.0014
7,0_to_5,2,3.4212,0.0007,0.0031
8,0_to_5,3,3.6520,0.0048,0.0119
9,0_to_5,4,4.8311,0.0002,0.0004
10,0_to_6,0,4.1064,0.0002,0.0007
11,0_to_6,1,3.8509,0.0004,0.0004
12,0_to_6,2,3.8344,0.0002,0.0009
13,0_to_6,3,4.5332,0.0002,0.0002
14,0_to_6,4,4.9225,0.0002,0.0003
15,0_to_7,0,4.3591,0.0001,0.0001
16,0_to_7,1,3.2467,0.0003,0.0003
17,0_to_7,2,3.9537,0.0001,0.0001
18,0_to_7,3,3.8033,0.0002,0.0001
19,0_to_7,4,4.3060,0.0001,0.0002
20,mean,-,3.9953,0.0005,0.0012
21,std,-,0.5572,0.0010,0.0026
