,scenario,run,acc,f1_score,auroc
0,0_to_4,0,0.0736,0.0642,0.4330
1,0_to_4,1,0.0193,0.0186,0.4749
2,0_to_4,2,0.0000,0.0000,0.4039
3,0_to_4,3,0.0175,0.0169,0.4198
4,0_to_4,4,0.0158,0.0153,0.3855
5,0_to_5,0,0.1419,0.1177,0.5143
6,0_to_5,1,0.1016,0.0994,0.4661
7,0_to_5,2,0.1086,0.1090,0.4606
8,0_to_5,3,0.1681,0.1348,0.5216
9,0_to_5,4,0.1786,0.1659,0.4742
10,0_to_6,0,0.2129,0.1729,0.5131
11,0_to_6,1,0.2077,0.1469,0.4988
12,0_to_6,2,0.1937,0.1439,0.5465
13,0_to_6,3,0.1972,0.1581,0.4907
14,0_to_6,4,0.1553,0.1469,0.5261
15,0_to_7,0,0.0350,0.0333,0.4313
16,0_to_7,1,0.1171,0.0963,0.3791
17,0_to_7,2,0.1783,0.1312,0.4920
18,0_to_7,3,0.1066,0.0900,0.3832
19,0_to_7,4,0.1294,0.1011,0.4218
20,mean,-,0.1179,0.0981,0.4618
21,std,-,0.0705,0.0554,0.0518
