,scenario,run,src_risk,few_shot_risk,trg_risk
0,0_to_4,0,0.0004,3.8696,4.1565
1,0_to_4,1,0.0012,4.5353,4.1929
2,0_to_4,2,0.0016,4.4466,4.9113
3,0_to_4,3,0.0008,3.9774,4.5988
4,0_to_4,4,0.0009,5.0526,4.6613
5,0_to_5,0,0.0003,3.0735,3.3456
6,0_to_5,1,0.0009,3.2293,3.3258
7,0_to_5,2,0.0007,3.0642,3.4560
8,0_to_5,3,0.0014,3.2030,3.1673
9,0_to_5,4,0.0007,3.4828,3.3715
10,0_to_6,0,0.0006,3.5402,3.5089
11,0_to_6,1,0.0107,3.5523,3.4777
12,0_to_6,2,0.0005,3.3427,3.3758
13,0_to_6,3,0.0006,3.4720,3.5054
14,0_to_6,4,0.0005,3.3781,3.2061
15,0_to_7,0,0.0007,4.5230,4.1213
16,0_to_7,1,0.0005,4.4389,4.2573
17,0_to_7,2,0.0006,2.8533,3.4972
18,0_to_7,3,0.0005,4.5009,4.2755
19,0_to_7,4,0.0004,3.6456,3.9119
20,mean,-,0.0012,3.7591,3.8162
21,std,-,0.0023,0.6219,0.5368
