,scenario,run,acc,f1_score,auroc
0,0_to_4,0,0.2977,0.2219,0.5081
1,0_to_4,1,0.0438,0.0412,0.4302
2,0_to_4,2,0.2750,0.2264,0.5819
3,0_to_4,3,0.1419,0.1340,0.5231
4,0_to_4,4,0.0823,0.0642,0.4562
5,0_to_5,0,0.2644,0.2155,0.5730
6,0_to_5,1,0.1664,0.1460,0.5475
7,0_to_5,2,0.3310,0.2827,0.6850
8,0_to_5,3,0.2242,0.2129,0.6138
9,0_to_5,4,0.1611,0.1378,0.5363
10,0_to_6,0,0.2618,0.2174,0.6442
11,0_to_6,1,0.2810,0.2319,0.6679
12,0_to_6,2,0.2705,0.2402,0.6225
13,0_to_6,3,0.2531,0.2008,0.6230
14,0_to_6,4,0.2600,0.1955,0.6298
15,0_to_7,0,0.2378,0.1988,0.5512
16,0_to_7,1,0.2325,0.1563,0.5104
17,0_to_7,2,0.2098,0.1639,0.5505
18,0_to_7,3,0.4038,0.2828,0.4655
19,0_to_7,4,0.2378,0.1544,0.5352
20,mean,-,0.2318,0.1862,0.5628
21,std,-,0.0822,0.0626,0.0707
