,scenario,run,src_risk,few_shot_risk,trg_risk
0,0_to_4,0,0.0002,2.8072,3.6193
1,0_to_4,1,0.0000,5.4742,4.6358
2,0_to_4,2,0.0003,3.1012,3.4267
3,0_to_4,3,0.0001,3.0488,3.4292
4,0_to_4,4,0.0001,4.6232,4.1567
5,0_to_5,0,0.0002,2.7242,3.2685
6,0_to_5,1,0.0000,3.2524,3.7838
7,0_to_5,2,0.0003,2.2664,2.8130
8,0_to_5,3,0.0001,2.9740,2.8975
9,0_to_5,4,0.0001,3.8705,3.6699
10,0_to_6,0,0.0001,3.4897,3.5943
11,0_to_6,1,0.0001,3.8150,3.4941
12,0_to_6,2,0.0000,3.5213,3.8346
13,0_to_6,3,0.0000,3.4527,3.4653
14,0_to_6,4,0.0000,3.4534,3.6074
15,0_to_7,0,0.0000,4.7244,4.5536
16,0_to_7,1,0.0000,4.3248,4.3752
17,0_to_7,2,0.0001,3.3135,3.8553
18,0_to_7,3,0.0041,5.9904,6.0637
19,0_to_7,4,0.0000,4.0897,4.1656
20,mean,-,0.0003,3.7159,3.8355
21,std,-,0.0009,0.9329,0.7125
