,scenario,run,acc,f1_score,auroc
0,0_to_4,0,1.0000,1.0000,1.0000
1,0_to_4,1,1.0000,1.0000,1.0000
2,0_to_4,2,1.0000,1.0000,1.0000
3,0_to_4,3,1.0000,1.0000,1.0000
4,0_to_4,4,1.0000,1.0000,1.0000
5,0_to_5,0,1.0000,1.0000,1.0000
6,0_to_5,1,1.0000,1.0000,1.0000
7,0_to_5,2,1.0000,1.0000,1.0000
8,0_to_5,3,1.0000,1.0000,1.0000
9,0_to_5,4,1.0000,1.0000,1.0000
10,0_to_6,0,1.0000,1.0000,1.0000
11,0_to_6,1,1.0000,1.0000,1.0000
12,0_to_6,2,1.0000,1.0000,1.0000
13,0_to_6,3,0.9965,0.9965,1.0000
14,0_to_6,4,1.0000,1.0000,1.0000
15,0_to_7,0,1.0000,1.0000,1.0000
16,0_to_7,1,1.0000,1.0000,1.0000
17,0_to_7,2,1.0000,1.0000,1.0000
18,0_to_7,3,1.0000,1.0000,1.0000
19,0_to_7,4,1.0000,1.0000,1.0000
20,mean,-,0.9998,0.9998,1.0000
21,std,-,0.0008,0.0008,0.0000
