,scenario,run,src_risk,few_shot_risk,trg_risk
0,0_to_4,0,7.3543,0.0001,0.0001
1,0_to_4,1,8.0004,0.0001,0.0001
2,0_to_4,2,6.5264,0.0001,0.0001
3,0_to_4,3,7.4555,0.0001,0.0001
4,0_to_4,4,8.1320,0.0001,0.0001
5,0_to_5,0,7.3112,0.0000,0.0001
6,0_to_5,1,7.5545,0.0001,0.0004
7,0_to_5,2,6.6746,0.0002,0.0005
8,0_to_5,3,7.5106,0.0004,0.0003
9,0_to_5,4,6.6103,0.0019,0.0012
10,0_to_6,0,6.1499,0.0004,0.0002
11,0_to_6,1,6.1787,0.0004,0.0003
12,0_to_6,2,7.8926,0.0001,0.0002
13,0_to_6,3,6.0166,0.0351,0.0438
14,0_to_6,4,6.9908,0.0001,0.0001
15,0_to_7,0,6.8199,0.0001,0.0001
16,0_to_7,1,5.4123,0.0020,0.0019
17,0_to_7,2,6.0306,0.0001,0.0001
18,0_to_7,3,5.2321,0.0001,0.0001
19,0_to_7,4,5.3429,0.0002,0.0003
20,mean,-,6.7598,0.0021,0.0025
21,std,-,0.8925,0.0078,0.0097
