,scenario,run,src_risk,few_shot_risk,trg_risk
0,0_to_4,0,0.0005,2.1388,2.2916
1,0_to_4,1,0.0007,2.7676,2.5208
2,0_to_4,2,0.0005,2.6228,2.5530
3,0_to_4,3,0.0007,2.4741,2.4919
4,0_to_4,4,0.0004,2.7202,2.5420
5,0_to_5,0,0.0004,3.0882,3.0945
6,0_to_5,1,0.0008,2.2226,2.0167
7,0_to_5,2,0.0004,2.5226,2.7124
8,0_to_5,3,0.0006,2.7530,2.7220
9,0_to_5,4,0.0004,2.3121,2.4064
10,0_to_6,0,0.0007,2.4869,2.4833
11,0_to_6,1,0.0006,2.4217,2.6301
12,0_to_6,2,0.0005,2.4902,2.7625
13,0_to_6,3,0.0008,2.6866,2.8009
14,0_to_6,4,0.0004,3.2097,2.8094
15,0_to_7,0,0.0007,2.2789,2.4806
16,0_to_7,1,0.0006,2.5251,2.6596
17,0_to_7,2,0.0005,2.7055,2.8560
18,0_to_7,3,0.0005,2.8009,2.7403
19,0_to_7,4,0.0004,2.2498,2.8303
20,mean,-,0.0006,2.5739,2.6202
21,std,-,0.0002,0.2781,0.2341
