,scenario,run,src_risk,few_shot_risk,trg_risk
0,0_to_4,0,0.0000,2.1291,2.3474
1,0_to_4,1,0.0000,2.8826,2.3404
2,0_to_4,2,0.0001,2.6790,2.2321
3,0_to_4,3,0.0002,2.2699,2.1956
4,0_to_4,4,0.0001,2.4438,2.1996
5,0_to_5,0,0.0001,2.6138,2.3675
6,0_to_5,1,0.0000,2.7137,2.5520
7,0_to_5,2,0.0000,2.2408,2.4747
8,0_to_5,3,0.0000,2.7496,2.4654
9,0_to_5,4,0.0000,2.5024,2.5558
10,0_to_6,0,0.0000,2.8818,2.9230
11,0_to_6,1,0.0000,2.4943,3.0109
12,0_to_6,2,0.0001,2.5065,2.7409
13,0_to_6,3,0.0002,2.2582,2.8403
14,0_to_6,4,0.0001,3.5464,2.9114
15,0_to_7,0,0.0000,2.9713,2.9063
16,0_to_7,1,0.0000,2.8339,3.0458
17,0_to_7,2,0.0001,2.2607,2.5401
18,0_to_7,3,0.0002,2.8363,2.8644
19,0_to_7,4,0.0001,2.1936,2.7332
20,mean,-,0.0001,2.6004,2.6123
21,std,-,0.0001,0.3446,0.2820
