,scenario,run,acc,f1_score,auroc
0,0_to_4,0,0.2675,0.3065,0.5024
1,0_to_4,1,0.4790,0.4930,0.6801
2,0_to_4,2,0.4458,0.4596,0.6260
3,0_to_4,3,0.3951,0.4277,0.6554
4,0_to_4,4,0.0682,0.0614,0.4535
5,0_to_5,0,0.3030,0.3400,0.6221
6,0_to_5,1,0.2697,0.2619,0.6304
7,0_to_5,2,0.4588,0.4309,0.6986
8,0_to_5,3,0.4063,0.4257,0.6766
9,0_to_5,4,0.1944,0.2075,0.6097
10,0_to_6,0,0.3839,0.3969,0.6754
11,0_to_6,1,0.4241,0.4332,0.6662
12,0_to_6,2,0.3892,0.4020,0.6676
13,0_to_6,3,0.4695,0.4779,0.7022
14,0_to_6,4,0.4328,0.4297,0.6925
15,0_to_7,0,0.2290,0.2454,0.5210
16,0_to_7,1,0.5927,0.5352,0.6796
17,0_to_7,2,0.2587,0.2721,0.5672
18,0_to_7,3,0.3951,0.4163,0.6318
19,0_to_7,4,0.1084,0.1102,0.4759
20,mean,-,0.3486,0.3566,0.6217
21,std,-,0.1325,0.1279,0.0770
