,scenario,run,src_risk,few_shot_risk,trg_risk
0,0_to_4,0,0.0037,3.1082,3.3150
1,0_to_4,1,0.0008,2.6832,2.0912
2,0_to_4,2,0.0003,2.8095,2.7919
3,0_to_4,3,0.0005,2.3733,2.5236
4,0_to_4,4,0.0008,3.8111,3.4978
5,0_to_5,0,0.0009,1.8148,2.0118
6,0_to_5,1,0.0006,1.6457,1.9172
7,0_to_5,2,0.0002,1.7016,1.7936
8,0_to_5,3,0.0007,1.8525,1.6856
9,0_to_5,4,0.0006,1.8902,2.0698
10,0_to_6,0,0.0006,1.7061,1.7773
11,0_to_6,1,0.0006,2.2658,1.9118
12,0_to_6,2,0.0007,1.5554,1.7489
13,0_to_6,3,0.0006,1.4381,1.6990
14,0_to_6,4,0.0008,1.3524,1.5558
15,0_to_7,0,0.0020,2.7470,2.8212
16,0_to_7,1,0.0007,1.9936,1.8795
17,0_to_7,2,0.0004,2.0317,2.7507
18,0_to_7,3,0.0009,2.1574,2.2864
19,0_to_7,4,0.0011,2.7384,3.2595
20,mean,-,0.0009,2.1838,2.2694
21,std,-,0.0008,0.6323,0.6032
