,scenario,run,src_risk,few_shot_risk,trg_risk
0,0_to_4,0,0.0000,3.3805,3.4698
1,0_to_4,1,0.0000,4.5223,3.6409
2,0_to_4,2,0.0001,3.8308,3.6781
3,0_to_4,3,0.0041,6.2011,6.1972
4,0_to_4,4,0.0002,3.8734,3.4877
5,0_to_5,0,0.0003,2.4186,2.4172
6,0_to_5,1,0.0000,2.7223,3.0250
7,0_to_5,2,0.0001,1.9853,2.4743
8,0_to_5,3,0.0000,2.9380,2.4464
9,0_to_5,4,0.0001,2.6218,2.9769
10,0_to_6,0,0.0001,2.8096,2.9410
11,0_to_6,1,0.0000,3.5547,2.8723
12,0_to_6,2,0.0007,1.9780,2.0189
13,0_to_6,3,0.0004,4.2172,4.0858
14,0_to_6,4,0.0001,2.6332,3.0428
15,0_to_7,0,0.0000,3.0486,2.9842
16,0_to_7,1,0.0000,3.2717,3.3483
17,0_to_7,2,0.0001,2.4527,3.3911
18,0_to_7,3,0.0041,4.0202,4.4961
19,0_to_7,4,0.0002,3.6499,3.3224
20,mean,-,0.0005,3.3065,3.3158
21,std,-,0.0012,0.9926,0.8962
