,scenario,run,src_risk,few_shot_risk,trg_risk
0,0_to_4,0,2.9347,0.0001,0.0001
1,0_to_4,1,3.4009,0.0001,0.0001
2,0_to_4,2,2.9874,0.0004,0.0002
3,0_to_4,3,3.5132,0.0001,0.0003
4,0_to_4,4,3.3067,0.0001,0.0001
5,0_to_5,0,4.8781,0.6410,0.6313
6,0_to_5,1,3.7328,0.0003,0.0007
7,0_to_5,2,4.3907,0.0069,0.0242
8,0_to_5,3,3.4346,0.0110,0.0220
9,0_to_5,4,4.0121,0.0030,0.0030
10,0_to_6,0,3.4410,0.0002,0.0002
11,0_to_6,1,4.2642,0.0021,0.0014
12,0_to_6,2,3.4100,0.0001,0.0003
13,0_to_6,3,5.6933,0.3739,0.4562
14,0_to_6,4,3.9939,0.0001,0.0003
15,0_to_7,0,2.5606,0.0003,0.0002
16,0_to_7,1,2.7251,0.0002,0.0003
17,0_to_7,2,3.3315,0.0001,0.0002
18,0_to_7,3,3.2921,0.0002,0.0003
19,0_to_7,4,3.1390,0.0003,0.0001
20,mean,-,3.6221,0.0520,0.0571
21,std,-,0.7497,0.1617,0.1690
