,scenario,run,src_risk,few_shot_risk,trg_risk
0,df_to_dp_61,0,0.1330,1.5189,1.0036
1,df_to_dp_62,0,0.1330,0.6484,0.4671
2,df_to_dp_63,0,0.1330,2.6478,1.5497
3,df_to_dp_64,0,0.1330,1.3473,1.2281
4,df_to_dp_65,0,0.1330,1.5901,1.0815
5,df_to_dp_66,0,0.1330,3.0285,2.3373
6,df_to_dp_61,1,0.2633,1.6029,1.2495
7,df_to_dp_62,1,0.2633,1.1186,0.8360
8,df_to_dp_63,1,0.2633,1.8245,1.4315
9,df_to_dp_64,1,0.2633,1.2225,1.0351
10,df_to_dp_65,1,0.2633,1.9484,1.4998
11,df_to_dp_66,1,0.2633,2.8590,2.6712
12,df_to_dp_61,2,0.2149,1.9548,1.6933
13,df_to_dp_62,2,0.2149,0.8256,0.5850
14,df_to_dp_63,2,0.2149,1.7734,1.5797
15,df_to_dp_64,2,0.2149,1.7964,1.3567
16,df_to_dp_65,2,0.2149,1.8014,1.5720
17,df_to_dp_66,2,0.2149,2.6434,2.2804
18,df_to_dp_61,3,0.3309,0.8076,0.7726
19,df_to_dp_62,3,0.3309,0.3624,0.6483
20,df_to_dp_63,3,0.3309,1.5172,1.2353
21,df_to_dp_64,3,0.3309,1.2803,1.0595
22,df_to_dp_65,3,0.3309,1.4897,0.9403
23,df_to_dp_66,3,0.3309,1.7836,1.9196
24,df_to_dp_61,4,0.2428,2.5265,2.2892
25,df_to_dp_62,4,0.2428,1.5158,0.9326
26,df_to_dp_63,4,0.2428,2.0520,2.3019
27,df_to_dp_64,4,0.2428,1.8824,1.2831
28,df_to_dp_65,4,0.2428,2.8545,2.3284
29,df_to_dp_66,4,0.2428,3.0311,1.8995
30,df_to_dp_61,5,0.3111,2.1624,1.9262
31,df_to_dp_62,5,0.3111,1.2178,1.0568
32,df_to_dp_63,5,0.3111,2.4247,2.2105
33,df_to_dp_64,5,0.3111,1.6934,1.4940
34,df_to_dp_65,5,0.3111,2.7870,2.1656
35,df_to_dp_66,5,0.3111,3.3305,2.5759
36,df_to_dp_61,6,0.1953,1.5222,1.6214
37,df_to_dp_62,6,0.1953,1.0138,0.7481
38,df_to_dp_63,6,0.1953,2.2154,1.7402
39,df_to_dp_64,6,0.1953,1.5352,1.4132
40,df_to_dp_65,6,0.1953,2.4021,1.9447
41,df_to_dp_66,6,0.1953,2.8032,2.2024
42,df_to_dp_61,7,0.4084,1.9534,1.8813
43,df_to_dp_62,7,0.4084,1.1862,0.8732
44,df_to_dp_63,7,0.4084,2.3667,1.9628
45,df_to_dp_64,7,0.4084,0.8828,1.2324
46,df_to_dp_65,7,0.4084,1.7981,1.5781
47,df_to_dp_66,7,0.4084,2.3508,1.9369
48,df_to_dp_61,8,0.1445,1.0162,0.7116
49,df_to_dp_62,8,0.1445,0.6690,0.3761
50,df_to_dp_63,8,0.1445,1.2896,1.1444
51,df_to_dp_64,8,0.1445,0.9928,0.9199
52,df_to_dp_65,8,0.1445,1.7785,1.0418
53,df_to_dp_66,8,0.1445,2.4480,1.7358
54,df_to_dp_61,9,0.3158,1.1882,0.8429
55,df_to_dp_62,9,0.3158,0.6702,0.4997
56,df_to_dp_63,9,0.3158,2.2469,1.3544
57,df_to_dp_64,9,0.3158,1.6593,1.2359
58,df_to_dp_65,9,0.3158,1.5601,0.9826
59,df_to_dp_66,9,0.3158,2.1724,1.3626
60,mean,-,0.2560,1.7765,1.4307
61,std,-,0.0835,0.6886,0.5726
