,scenario,run,acc,f1_score,auroc
0,df_to_dp_61,0,0.4250,0.3222,0.8983
1,df_to_dp_62,0,0.2750,0.1475,0.9350
2,df_to_dp_63,0,0.4000,0.3190,0.7375
3,df_to_dp_64,0,0.3500,0.2511,0.7625
4,df_to_dp_65,0,0.4500,0.3434,0.6483
5,df_to_dp_66,0,0.3250,0.2371,0.5658
6,df_to_dp_61,1,0.5500,0.4649,0.9483
7,df_to_dp_62,1,0.6250,0.5595,0.9558
8,df_to_dp_63,1,0.5000,0.4884,0.8425
9,df_to_dp_64,1,0.6250,0.5932,0.8087
10,df_to_dp_65,1,0.3500,0.3159,0.7183
11,df_to_dp_66,1,0.3750,0.3198,0.6950
12,df_to_dp_61,2,0.6000,0.5317,0.9708
13,df_to_dp_62,2,0.4750,0.3247,0.9242
14,df_to_dp_63,2,0.5250,0.4500,0.8083
15,df_to_dp_64,2,0.6000,0.5381,0.8667
16,df_to_dp_65,2,0.5000,0.5145,0.7408
17,df_to_dp_66,2,0.3250,0.2563,0.6450
18,df_to_dp_61,3,0.5750,0.5005,0.9725
19,df_to_dp_62,3,0.5000,0.3750,0.9642
20,df_to_dp_63,3,0.3500,0.2548,0.7983
21,df_to_dp_64,3,0.2500,0.1667,0.7279
22,df_to_dp_65,3,0.3250,0.2306,0.6900
23,df_to_dp_66,3,0.2500,0.1667,0.6375
24,df_to_dp_61,4,0.6250,0.5883,0.9233
25,df_to_dp_62,4,0.9250,0.9245,0.9825
26,df_to_dp_63,4,0.3750,0.3167,0.7667
27,df_to_dp_64,4,0.4500,0.4356,0.8042
28,df_to_dp_65,4,0.4250,0.3716,0.6667
29,df_to_dp_66,4,0.3000,0.2500,0.6208
30,df_to_dp_61,5,0.5000,0.3750,0.8575
31,df_to_dp_62,5,0.5750,0.5005,0.9267
32,df_to_dp_63,5,0.3500,0.2511,0.7267
33,df_to_dp_64,5,0.2750,0.1885,0.7450
34,df_to_dp_65,5,0.4250,0.3219,0.6200
35,df_to_dp_66,5,0.3000,0.2098,0.6242
36,df_to_dp_61,6,0.5000,0.3750,0.9517
37,df_to_dp_62,6,0.2500,0.1000,0.9525
38,df_to_dp_63,6,0.3750,0.2758,0.7742
39,df_to_dp_64,6,0.4500,0.4309,0.7825
40,df_to_dp_65,6,0.5000,0.3750,0.7183
41,df_to_dp_66,6,0.4250,0.3203,0.6417
42,df_to_dp_61,7,0.5000,0.3750,0.9692
43,df_to_dp_62,7,0.6500,0.5653,0.9658
44,df_to_dp_63,7,0.3750,0.3054,0.8308
45,df_to_dp_64,7,0.4500,0.3571,0.7642
46,df_to_dp_65,7,0.2750,0.1891,0.7800
47,df_to_dp_66,7,0.2500,0.1667,0.7425
48,df_to_dp_61,8,0.7500,0.6667,0.9142
49,df_to_dp_62,8,0.3000,0.1875,0.9467
50,df_to_dp_63,8,0.5000,0.4367,0.7933
51,df_to_dp_64,8,0.6750,0.6257,0.8775
52,df_to_dp_65,8,0.6250,0.6241,0.8533
53,df_to_dp_66,8,0.3500,0.2692,0.6742
54,df_to_dp_61,9,0.5000,0.3750,0.9083
55,df_to_dp_62,9,0.4000,0.3306,0.8675
56,df_to_dp_63,9,0.4250,0.3615,0.7758
57,df_to_dp_64,9,0.3250,0.2321,0.7658
58,df_to_dp_65,9,0.4750,0.3654,0.6908
59,df_to_dp_66,9,0.3500,0.2843,0.6725
60,mean,-,0.4454,0.3667,0.8023
61,std,-,0.1375,0.1539,0.1158
