,scenario,run,src_risk,few_shot_risk,trg_risk
0,df_to_dp_61,0,0.0075,4.1864,4.5947
1,df_to_dp_62,0,0.0075,4.1168,4.0947
2,df_to_dp_63,0,0.0075,4.4808,4.2777
3,df_to_dp_64,0,0.0075,2.9526,3.5846
4,df_to_dp_65,0,0.0075,4.3179,4.5375
5,df_to_dp_66,0,0.0075,6.3050,6.5120
6,df_to_dp_61,1,0.0037,2.2113,2.1553
7,df_to_dp_62,1,0.0037,1.9332,1.4439
8,df_to_dp_63,1,0.0037,1.0761,1.9938
9,df_to_dp_64,1,0.0037,3.2097,2.1929
10,df_to_dp_65,1,0.0037,2.1291,1.9576
11,df_to_dp_66,1,0.0037,3.3561,3.3442
12,df_to_dp_61,2,0.0086,1.1904,1.4548
13,df_to_dp_62,2,0.0086,2.7753,1.7367
14,df_to_dp_63,2,0.0086,1.4882,1.8794
15,df_to_dp_64,2,0.0086,2.4042,2.2757
16,df_to_dp_65,2,0.0086,0.9007,1.4725
17,df_to_dp_66,2,0.0086,2.8997,3.8486
18,df_to_dp_61,3,0.0145,1.8508,3.0170
19,df_to_dp_62,3,0.0145,1.2660,2.2032
20,df_to_dp_63,3,0.0145,3.0654,4.6788
21,df_to_dp_64,3,0.0145,4.9259,5.4371
22,df_to_dp_65,3,0.0145,3.3923,4.5031
23,df_to_dp_66,3,0.0145,5.4043,7.9815
24,df_to_dp_61,4,0.0036,0.9927,1.4871
25,df_to_dp_62,4,0.0036,0.3224,0.3891
26,df_to_dp_63,4,0.0036,1.9798,2.7163
27,df_to_dp_64,4,0.0036,3.0496,2.4007
28,df_to_dp_65,4,0.0036,3.3921,3.4948
29,df_to_dp_66,4,0.0036,3.7859,4.4133
30,df_to_dp_61,5,0.0179,4.0183,5.0280
31,df_to_dp_62,5,0.0179,1.4110,1.4540
32,df_to_dp_63,5,0.0179,4.6770,5.6114
33,df_to_dp_64,5,0.0179,4.3456,4.9266
34,df_to_dp_65,5,0.0179,4.9223,5.4498
35,df_to_dp_66,5,0.0179,6.8222,7.7438
36,df_to_dp_61,6,0.0052,2.6323,3.3443
37,df_to_dp_62,6,0.0052,3.1425,2.5628
38,df_to_dp_63,6,0.0052,2.8691,3.6326
39,df_to_dp_64,6,0.0052,2.1169,3.1433
40,df_to_dp_65,6,0.0052,3.6854,4.3176
41,df_to_dp_66,6,0.0052,5.1026,5.9093
42,df_to_dp_61,7,0.0432,1.2947,1.9608
43,df_to_dp_62,7,0.0432,0.6236,0.7092
44,df_to_dp_63,7,0.0432,3.3979,3.2380
45,df_to_dp_64,7,0.0432,2.3469,3.5896
46,df_to_dp_65,7,0.0432,2.7729,2.5924
47,df_to_dp_66,7,0.0432,4.3033,4.6322
48,df_to_dp_61,8,0.0086,1.8168,2.8919
49,df_to_dp_62,8,0.0086,2.7395,3.8226
50,df_to_dp_63,8,0.0086,1.7987,2.0996
51,df_to_dp_64,8,0.0086,1.8145,2.3885
52,df_to_dp_65,8,0.0086,0.9616,1.2924
53,df_to_dp_66,8,0.0086,3.2856,5.4201
54,df_to_dp_61,9,0.0051,4.0031,3.8150
55,df_to_dp_62,9,0.0051,3.2732,2.3825
56,df_to_dp_63,9,0.0051,3.2464,3.4525
57,df_to_dp_64,9,0.0051,2.7423,3.3226
58,df_to_dp_65,9,0.0051,3.2142,3.8213
59,df_to_dp_66,9,0.0051,4.2968,5.1790
60,mean,-,0.0118,2.9840,3.4302
61,std,-,0.0115,1.4020,1.6252
