,scenario,run,acc,f1_score,auroc
0,syn_61_to_dp_61,0,0.5000,0.4171,0.7917
1,syn_61_to_dp_61,1,0.4750,0.3654,0.6833
2,syn_61_to_dp_61,2,0.4250,0.3561,0.7417
3,syn_61_to_dp_61,3,0.5250,0.4712,0.7758
4,syn_61_to_dp_61,4,0.4250,0.3629,0.7592
5,syn_61_to_dp_61,5,0.4750,0.3716,0.7083
6,syn_61_to_dp_61,6,0.4750,0.3654,0.7725
7,syn_61_to_dp_61,7,0.4500,0.3676,0.7692
8,syn_61_to_dp_61,8,0.5250,0.4550,0.7225
9,syn_61_to_dp_61,9,0.4250,0.3629,0.7542
10,syn_62_to_dp_62,0,0.4750,0.4160,0.7417
11,syn_62_to_dp_62,1,0.4750,0.4044,0.7933
12,syn_62_to_dp_62,2,0.5250,0.4700,0.7600
13,syn_62_to_dp_62,3,0.4500,0.3917,0.7175
14,syn_62_to_dp_62,4,0.3750,0.3178,0.7108
15,syn_62_to_dp_62,5,0.4500,0.3804,0.7367
16,syn_62_to_dp_62,6,0.4500,0.3982,0.7050
17,syn_62_to_dp_62,7,0.3750,0.3178,0.7142
18,syn_62_to_dp_62,8,0.4750,0.4251,0.7733
19,syn_62_to_dp_62,9,0.4750,0.4207,0.7725
20,syn_63_to_dp_63,0,0.4000,0.3237,0.7133
21,syn_63_to_dp_63,1,0.3250,0.3077,0.7208
22,syn_63_to_dp_63,2,0.4250,0.3458,0.7258
23,syn_63_to_dp_63,3,0.4250,0.3207,0.7042
24,syn_63_to_dp_63,4,0.3750,0.3562,0.7108
25,syn_63_to_dp_63,5,0.3750,0.3429,0.7200
26,syn_63_to_dp_63,6,0.4000,0.3690,0.6867
27,syn_63_to_dp_63,7,0.3750,0.3442,0.6933
28,syn_63_to_dp_63,8,0.3500,0.2923,0.6950
29,syn_63_to_dp_63,9,0.3250,0.3071,0.7092
30,syn_64_to_dp_64,0,0.5750,0.5015,0.8867
31,syn_64_to_dp_64,1,0.5250,0.4125,0.8383
32,syn_64_to_dp_64,2,0.5500,0.4446,0.8792
33,syn_64_to_dp_64,3,0.6000,0.5030,0.8692
34,syn_64_to_dp_64,4,0.4250,0.3738,0.7858
35,syn_64_to_dp_64,5,0.5250,0.4144,0.7692
36,syn_64_to_dp_64,6,0.6000,0.5119,0.8558
37,syn_64_to_dp_64,7,0.5500,0.4500,0.8758
38,syn_64_to_dp_64,8,0.5500,0.4583,0.8612
39,syn_64_to_dp_64,9,0.5250,0.4205,0.8658
40,syn_65_to_dp_65,0,0.4250,0.3935,0.7708
41,syn_65_to_dp_65,1,0.4250,0.4181,0.7492
42,syn_65_to_dp_65,2,0.4750,0.4263,0.7500
43,syn_65_to_dp_65,3,0.3500,0.3181,0.7483
44,syn_65_to_dp_65,4,0.3750,0.3365,0.7417
45,syn_65_to_dp_65,5,0.6000,0.5290,0.8050
46,syn_65_to_dp_65,6,0.5250,0.4360,0.7708
47,syn_65_to_dp_65,7,0.3500,0.2794,0.7508
48,syn_65_to_dp_65,8,0.4750,0.3407,0.7817
49,syn_65_to_dp_65,9,0.4750,0.4091,0.7475
50,syn_66_to_dp_66,0,0.3500,0.3100,0.6308
51,syn_66_to_dp_66,1,0.3750,0.3200,0.6233
52,syn_66_to_dp_66,2,0.3250,0.2495,0.6408
53,syn_66_to_dp_66,3,0.3250,0.2796,0.6400
54,syn_66_to_dp_66,4,0.3750,0.3374,0.5808
55,syn_66_to_dp_66,5,0.3250,0.2667,0.6175
56,syn_66_to_dp_66,6,0.3250,0.2713,0.6108
57,syn_66_to_dp_66,7,0.3250,0.2786,0.6450
58,syn_66_to_dp_66,8,0.3500,0.3042,0.6300
59,syn_66_to_dp_66,9,0.3500,0.2961,0.6825
60,mean,-,0.4387,0.3740,0.7398
61,std,-,0.0800,0.0670,0.0712
