,scenario,run,src_risk,few_shot_risk,trg_risk
0,syn_61_to_dp_61,0,0.0175,3.4089,3.0695
1,syn_61_to_dp_61,1,0.0410,4.3855,4.4594
2,syn_61_to_dp_61,2,0.0020,3.2756,3.6826
3,syn_61_to_dp_61,3,0.0226,2.0143,3.3399
4,syn_61_to_dp_61,4,0.0060,2.7018,3.3182
5,syn_61_to_dp_61,5,0.0035,3.0403,3.3787
6,syn_61_to_dp_61,6,0.2437,4.2426,4.0398
7,syn_61_to_dp_61,7,0.0023,2.4517,3.0422
8,syn_61_to_dp_61,8,0.0132,2.9782,3.1445
9,syn_61_to_dp_61,9,0.0034,2.6368,2.9713
10,syn_62_to_dp_62,0,0.0004,2.4970,2.9048
11,syn_62_to_dp_62,1,0.0002,2.2024,3.5271
12,syn_62_to_dp_62,2,0.0005,2.7952,3.7248
13,syn_62_to_dp_62,3,0.0007,2.6067,3.6617
14,syn_62_to_dp_62,4,0.0005,2.4283,3.4129
15,syn_62_to_dp_62,5,0.0019,2.4952,2.6074
16,syn_62_to_dp_62,6,0.0025,1.9462,2.3593
17,syn_62_to_dp_62,7,0.0005,1.9344,2.7519
18,syn_62_to_dp_62,8,0.0003,2.0544,2.8472
19,syn_62_to_dp_62,9,0.0003,2.2329,3.1284
20,syn_63_to_dp_63,0,0.0119,3.8628,2.9365
21,syn_63_to_dp_63,1,0.0046,4.0940,3.1763
22,syn_63_to_dp_63,2,0.0029,2.6425,1.9308
23,syn_63_to_dp_63,3,0.0102,3.1946,2.0177
24,syn_63_to_dp_63,4,0.0009,3.5972,2.6453
25,syn_63_to_dp_63,5,0.0020,3.6734,2.8197
26,syn_63_to_dp_63,6,0.0051,3.6748,3.4578
27,syn_63_to_dp_63,7,0.0026,3.4497,2.7944
28,syn_63_to_dp_63,8,0.0236,3.9406,4.3716
29,syn_63_to_dp_63,9,0.0014,2.8667,2.8088
30,syn_64_to_dp_64,0,0.0005,2.7401,3.0365
31,syn_64_to_dp_64,1,0.0039,3.4052,4.1006
32,syn_64_to_dp_64,2,0.0012,2.3226,3.2802
33,syn_64_to_dp_64,3,0.0072,1.8490,2.7910
34,syn_64_to_dp_64,4,0.0149,1.9104,2.4328
35,syn_64_to_dp_64,5,0.0078,4.2746,4.5333
36,syn_64_to_dp_64,6,0.0021,1.6855,1.9733
37,syn_64_to_dp_64,7,0.0007,2.9191,3.5595
38,syn_64_to_dp_64,8,0.0005,3.4067,3.5717
39,syn_64_to_dp_64,9,0.0007,2.4013,3.6068
40,syn_65_to_dp_65,0,0.0005,2.1042,1.7962
41,syn_65_to_dp_65,1,0.0026,1.8597,2.1758
42,syn_65_to_dp_65,2,0.0135,1.4037,1.6348
43,syn_65_to_dp_65,3,0.0007,2.1869,2.5264
44,syn_65_to_dp_65,4,0.0014,2.2299,2.0753
45,syn_65_to_dp_65,5,0.0042,2.2153,1.6787
46,syn_65_to_dp_65,6,0.0422,2.3201,1.6045
47,syn_65_to_dp_65,7,0.0125,2.5277,2.3666
48,syn_65_to_dp_65,8,0.0329,3.5755,1.9332
49,syn_65_to_dp_65,9,0.0016,2.1989,1.8083
50,syn_66_to_dp_66,0,0.0028,3.9773,4.8210
51,syn_66_to_dp_66,1,0.0476,5.1816,4.6562
52,syn_66_to_dp_66,2,0.0060,3.9274,4.2334
53,syn_66_to_dp_66,3,0.0015,4.2727,4.3118
54,syn_66_to_dp_66,4,0.1266,4.4096,4.5763
55,syn_66_to_dp_66,5,0.0173,5.3214,5.4918
56,syn_66_to_dp_66,6,0.0853,5.5588,4.7260
57,syn_66_to_dp_66,7,0.0013,4.3497,4.4169
58,syn_66_to_dp_66,8,0.0024,5.7689,5.6921
59,syn_66_to_dp_66,9,0.0045,3.4480,3.1142
60,mean,-,0.0146,3.0846,3.2143
61,std,-,0.0368,1.0228,0.9734
