,scenario,run,acc,f1_score,auroc
0,df_to_dp_61,0,0.6300,0.6234,0.8589
1,df_to_dp_62,0,0.5950,0.5854,0.8542
2,df_to_dp_63,0,0.7050,0.6981,0.8808
3,df_to_dp_64,0,0.4500,0.4769,0.7570
4,df_to_dp_65,0,0.6650,0.5987,0.9199
5,df_to_dp_66,0,0.6650,0.6523,0.9153
6,df_to_dp_67,0,0.3350,0.3398,0.7257
7,df_to_dp_68,0,0.5450,0.5116,0.7143
8,df_to_dp_69,0,0.5850,0.5590,0.8205
9,df_to_dp_70,0,0.7700,0.7538,0.9356
10,df_to_dp_71,0,0.6950,0.6925,0.8617
11,df_to_dp_72,0,0.7800,0.7776,0.9039
12,df_to_dp_73,0,0.7200,0.7246,0.9222
13,df_to_dp_74,0,0.4427,0.4200,0.8130
14,df_to_dp_75,0,0.6300,0.6250,0.8634
15,mean,-,0.6142,0.6026,0.8498
16,std,-,0.1264,0.1247,0.0711
