,scenario,run,src_risk,few_shot_risk,trg_risk
0,df_to_dp_61,0,0.1893,1.1986,1.2296
1,df_to_dp_62,0,0.1889,1.3161,1.3165
2,df_to_dp_63,0,0.1951,1.5615,1.4280
3,df_to_dp_64,0,0.2047,1.8688,1.8977
4,df_to_dp_65,0,0.2493,1.3671,1.7480
5,df_to_dp_66,0,0.3252,1.4748,1.3166
6,df_to_dp_67,0,0.2811,2.7926,2.7503
7,df_to_dp_68,0,0.2207,2.2642,2.0522
8,df_to_dp_69,0,0.1620,1.9288,1.5658
9,df_to_dp_70,0,0.1637,0.7298,0.7343
10,df_to_dp_71,0,0.2200,1.6173,1.6861
11,df_to_dp_72,0,0.2089,0.8649,0.7119
12,df_to_dp_73,0,0.2991,0.7088,1.0217
13,df_to_dp_74,0,0.4484,1.9454,1.7472
14,df_to_dp_75,0,0.3761,1.3120,1.2082
15,mean,-,0.2488,1.5301,1.4943
16,std,-,0.0826,0.5718,0.5247
