,scenario,run,acc,f1_score,auroc
0,df_to_dp_61,0,0.5950,0.5414,0.8649
1,df_to_dp_62,0,0.4950,0.4348,0.7671
2,df_to_dp_63,0,0.3700,0.3733,0.6658
3,df_to_dp_64,0,0.7800,0.7755,0.9480
4,df_to_dp_65,0,0.6950,0.6491,0.8952
5,df_to_dp_66,0,0.4950,0.5206,0.7359
6,df_to_dp_67,0,0.4550,0.4276,0.6845
7,df_to_dp_68,0,0.6450,0.6153,0.9076
8,df_to_dp_69,0,0.4800,0.4171,0.7684
9,df_to_dp_70,0,0.4350,0.4407,0.6074
10,df_to_dp_71,0,0.6450,0.5891,0.8850
11,df_to_dp_72,0,0.6000,0.5277,0.9278
12,df_to_dp_73,0,0.7250,0.6438,0.9078
13,df_to_dp_74,0,0.7396,0.7239,0.9570
14,df_to_dp_75,0,0.6950,0.6360,0.9089
15,mean,-,0.5900,0.5544,0.8288
16,std,-,0.1270,0.1204,0.1136
