,scenario,run,src_risk,few_shot_risk,trg_risk
0,df_to_dp_61,0,22.2630,1.2895,1.4529
1,df_to_dp_62,0,11.2593,3.3690,3.5047
2,df_to_dp_63,0,46.0208,1.6343,1.9439
3,df_to_dp_64,0,22.8354,0.4698,0.6529
4,df_to_dp_65,0,6.7437,0.6341,1.0392
5,df_to_dp_66,0,26.2395,2.1752,2.5774
6,df_to_dp_67,0,26.3946,2.0821,1.7595
7,df_to_dp_68,0,25.0859,0.9332,0.9160
8,df_to_dp_69,0,8.0244,1.6113,2.3400
9,df_to_dp_70,0,27.8237,3.1879,3.7882
10,df_to_dp_71,0,34.7775,0.8483,0.9223
11,df_to_dp_72,0,26.6928,0.9817,1.3861
12,df_to_dp_73,0,33.2488,1.4082,1.7713
13,df_to_dp_74,0,27.8769,0.8203,0.7596
14,df_to_dp_75,0,40.4200,0.8708,1.2673
15,mean,-,25.7138,1.4877,1.7388
16,std,-,10.9567,0.8824,0.9572
