,scenario,run,acc,f1_score,auroc
0,df_to_dp_61,0,0.6800,0.6887,0.9169
1,df_to_dp_62,0,0.5500,0.4979,0.8705
2,df_to_dp_63,0,0.6900,0.6958,0.8899
3,df_to_dp_64,0,0.4750,0.4273,0.7931
4,df_to_dp_65,0,0.6050,0.5458,0.8871
5,df_to_dp_66,0,0.6650,0.6669,0.8588
6,df_to_dp_67,0,0.6000,0.5383,0.8253
7,df_to_dp_68,0,0.4700,0.3369,0.8519
8,df_to_dp_69,0,0.5900,0.5684,0.8591
9,df_to_dp_70,0,0.4550,0.4220,0.7739
10,df_to_dp_71,0,0.6450,0.6262,0.8557
11,df_to_dp_72,0,0.7150,0.7138,0.9125
12,df_to_dp_73,0,0.6650,0.6453,0.9253
13,df_to_dp_74,0,0.5677,0.4972,0.7893
14,df_to_dp_75,0,0.6850,0.6903,0.9132
15,mean,-,0.6038,0.5707,0.8615
16,std,-,0.0855,0.1171,0.0485
