,scenario,run,src_risk,few_shot_risk,trg_risk
0,df_to_dp_61,0,0.1661,0.8135,0.7932
1,df_to_dp_62,0,0.3168,1.2255,1.4973
2,df_to_dp_63,0,0.1365,1.1032,0.9329
3,df_to_dp_64,0,0.1704,1.7183,1.9404
4,df_to_dp_65,0,0.1624,1.4208,1.6030
5,df_to_dp_66,0,0.1865,0.8134,1.1185
6,df_to_dp_67,0,0.2745,1.7813,1.1872
7,df_to_dp_68,0,0.1761,2.4628,2.0526
8,df_to_dp_69,0,0.2317,1.1245,1.0415
9,df_to_dp_70,0,0.2547,1.6027,1.6269
10,df_to_dp_71,0,0.1201,1.1612,0.9986
11,df_to_dp_72,0,0.2069,0.7122,0.7536
12,df_to_dp_73,0,0.1469,0.4960,0.8033
13,df_to_dp_74,0,0.2905,1.8106,1.6828
14,df_to_dp_75,0,0.3753,0.8115,0.7050
15,mean,-,0.2143,1.2705,1.2491
16,std,-,0.0739,0.5285,0.4485
