,scenario,run,acc,f1_score,auroc
0,df_to_dp_61,0,0.5200,0.4664,0.8185
1,df_to_dp_62,0,0.6200,0.5627,0.8727
2,df_to_dp_63,0,0.5800,0.5710,0.7928
3,df_to_dp_64,0,0.6750,0.6239,0.8979
4,df_to_dp_65,0,0.6900,0.6229,0.7946
5,df_to_dp_66,0,0.6200,0.5825,0.7389
6,df_to_dp_67,0,0.6850,0.6551,0.9223
7,df_to_dp_68,0,0.4450,0.4151,0.8393
8,df_to_dp_69,0,0.6500,0.6156,0.8812
9,df_to_dp_70,0,0.5600,0.4961,0.7679
10,df_to_dp_71,0,0.7350,0.7241,0.9200
11,df_to_dp_72,0,0.6900,0.6334,0.8970
12,df_to_dp_73,0,0.6450,0.6012,0.9118
13,df_to_dp_74,0,0.5885,0.5190,0.9046
14,df_to_dp_75,0,0.5650,0.4791,0.8824
15,mean,-,0.6179,0.5712,0.8561
16,std,-,0.0763,0.0824,0.0597
