,scenario,run,acc,f1_score,auroc
0,df_to_dp_61,0,0.6400,0.5706,0.9357
1,df_to_dp_62,0,0.5100,0.4122,0.8329
2,df_to_dp_63,0,0.6750,0.6677,0.8676
3,df_to_dp_64,0,0.4250,0.3638,0.7783
4,df_to_dp_65,0,0.5250,0.4545,0.8556
5,df_to_dp_66,0,0.6150,0.5454,0.8745
6,df_to_dp_67,0,0.4450,0.3951,0.7646
7,df_to_dp_68,0,0.4450,0.3735,0.8912
8,df_to_dp_69,0,0.6500,0.5770,0.9193
9,df_to_dp_70,0,0.5100,0.4322,0.7847
10,df_to_dp_71,0,0.5800,0.5366,0.8672
11,df_to_dp_72,0,0.5450,0.4662,0.9034
12,df_to_dp_73,0,0.6250,0.5624,0.9148
13,df_to_dp_74,0,0.3281,0.2558,0.6865
14,df_to_dp_75,0,0.6650,0.5969,0.8790
15,df_to_dp_61,1,0.6700,0.6616,0.9130
16,df_to_dp_62,1,0.4950,0.4267,0.8079
17,df_to_dp_63,1,0.6200,0.6182,0.8693
18,df_to_dp_64,1,0.4650,0.4051,0.8275
19,df_to_dp_65,1,0.5800,0.5373,0.8390
20,df_to_dp_66,1,0.6200,0.5614,0.8411
21,df_to_dp_67,1,0.4550,0.4035,0.7574
22,df_to_dp_68,1,0.5300,0.4294,0.8966
23,df_to_dp_69,1,0.6500,0.6234,0.8884
24,df_to_dp_70,1,0.4400,0.3645,0.6839
25,df_to_dp_71,1,0.6100,0.6147,0.8422
26,df_to_dp_72,1,0.5900,0.5539,0.9044
27,df_to_dp_73,1,0.6850,0.6768,0.9183
28,df_to_dp_74,1,0.3594,0.3271,0.6663
29,df_to_dp_75,1,0.7050,0.6816,0.8909
30,df_to_dp_61,2,0.6800,0.6694,0.9285
31,df_to_dp_62,2,0.5800,0.5496,0.8592
32,df_to_dp_63,2,0.6450,0.6174,0.9105
33,df_to_dp_64,2,0.5650,0.5439,0.8683
34,df_to_dp_65,2,0.6300,0.5544,0.8707
35,df_to_dp_66,2,0.6000,0.6094,0.8310
36,df_to_dp_67,2,0.5700,0.5457,0.7660
37,df_to_dp_68,2,0.4600,0.3119,0.8012
38,df_to_dp_69,2,0.6700,0.6683,0.8829
39,df_to_dp_70,2,0.4650,0.4262,0.7538
40,df_to_dp_71,2,0.7000,0.6924,0.8985
41,df_to_dp_72,2,0.7600,0.7283,0.9439
42,df_to_dp_73,2,0.8250,0.8282,0.9490
43,df_to_dp_74,2,0.5312,0.4848,0.7358
44,df_to_dp_75,2,0.6750,0.6754,0.9213
45,df_to_dp_61,3,0.7700,0.7667,0.9469
46,df_to_dp_62,3,0.5400,0.4762,0.8460
47,df_to_dp_63,3,0.7050,0.7057,0.9006
48,df_to_dp_64,3,0.5150,0.4930,0.8208
49,df_to_dp_65,3,0.6250,0.5808,0.8578
50,df_to_dp_66,3,0.6500,0.6260,0.8404
51,df_to_dp_67,3,0.4850,0.4458,0.7651
52,df_to_dp_68,3,0.5050,0.4069,0.8933
