,scenario,run,src_risk,few_shot_risk,trg_risk
0,df_to_dp_61,0,0.1749,1.3330,1.0392
1,df_to_dp_62,0,0.1749,2.2261,2.4127
2,df_to_dp_63,0,0.1749,1.0693,0.9506
3,df_to_dp_64,0,0.1749,1.9115,2.1669
4,df_to_dp_65,0,0.1749,1.9068,1.8954
5,df_to_dp_66,0,0.1749,1.2322,1.5790
6,df_to_dp_67,0,0.1749,2.1266,2.0402
7,df_to_dp_68,0,0.1749,2.3933,2.0552
8,df_to_dp_69,0,0.1749,0.7360,1.1955
9,df_to_dp_70,0,0.1749,2.1660,2.7577
10,df_to_dp_71,0,0.1749,0.8388,1.1040
11,df_to_dp_72,0,0.1749,1.1224,1.2766
12,df_to_dp_73,0,0.1749,0.8520,0.9899
13,df_to_dp_74,0,0.1749,3.3294,3.6877
14,df_to_dp_75,0,0.1749,1.1877,1.4059
15,df_to_dp_61,1,0.1560,0.5035,0.7542
16,df_to_dp_62,1,0.1560,1.5813,1.8801
17,df_to_dp_63,1,0.1560,0.9897,0.8161
18,df_to_dp_64,1,0.1560,1.4688,1.4599
19,df_to_dp_65,1,0.1560,1.0717,1.4257
20,df_to_dp_66,1,0.1560,1.2176,1.1123
21,df_to_dp_67,1,0.1560,1.5294,1.5332
22,df_to_dp_68,1,0.1560,1.9466,1.2984
23,df_to_dp_69,1,0.1560,0.7982,0.8828
24,df_to_dp_70,1,0.1560,1.9148,2.2440
25,df_to_dp_71,1,0.1560,0.9219,0.8822
26,df_to_dp_72,1,0.1560,0.7971,0.9802
27,df_to_dp_73,1,0.1560,0.5396,0.7168
28,df_to_dp_74,1,0.1560,2.7070,3.2630
29,df_to_dp_75,1,0.1560,0.8026,0.8126
30,df_to_dp_61,2,0.2298,0.4603,0.7286
31,df_to_dp_62,2,0.2298,1.2376,1.2412
32,df_to_dp_63,2,0.2298,0.9212,0.9614
33,df_to_dp_64,2,0.2298,0.8700,1.0427
34,df_to_dp_65,2,0.2298,1.7810,1.2517
35,df_to_dp_66,2,0.2298,0.9430,0.9367
36,df_to_dp_67,2,0.2298,1.2412,1.2681
37,df_to_dp_68,2,0.2298,3.0344,2.7730
38,df_to_dp_69,2,0.2298,0.4494,0.7279
39,df_to_dp_70,2,0.2298,1.4810,1.5801
40,df_to_dp_71,2,0.2298,0.6847,0.7415
