,scenario,run,acc,f1_score,auroc
0,df_to_dp_61,0,0.6200,0.5606,0.8437
1,df_to_dp_62,0,0.6400,0.5741,0.9168
2,df_to_dp_63,0,0.1400,0.1092,0.6281
3,df_to_dp_64,0,0.6700,0.6083,0.8774
4,df_to_dp_65,0,0.6700,0.6029,0.8448
5,df_to_dp_66,0,0.5350,0.4948,0.7683
6,df_to_dp_67,0,0.5450,0.5021,0.8331
7,df_to_dp_68,0,0.6150,0.5880,0.8851
8,df_to_dp_69,0,0.6700,0.5976,0.8894
9,df_to_dp_70,0,0.5250,0.4595,0.7789
10,df_to_dp_71,0,0.7200,0.6917,0.9295
11,df_to_dp_72,0,0.6050,0.5539,0.8770
12,df_to_dp_73,0,0.5250,0.4455,0.9182
13,df_to_dp_74,0,0.4896,0.3723,0.7164
14,df_to_dp_75,0,0.6800,0.6349,0.9286
15,df_to_dp_61,1,0.6900,0.6508,0.9426
16,df_to_dp_62,1,0.8150,0.8121,0.9641
17,df_to_dp_63,1,0.4800,0.3673,0.6760
18,df_to_dp_64,1,0.6700,0.6104,0.9735
19,df_to_dp_65,1,0.7550,0.7302,0.9645
20,df_to_dp_66,1,0.6550,0.5982,0.8067
21,df_to_dp_67,1,0.6600,0.6101,0.9422
22,df_to_dp_68,1,0.5050,0.4447,0.6063
23,df_to_dp_69,1,0.7450,0.7401,0.9367
24,df_to_dp_70,1,0.7100,0.6788,0.9273
25,df_to_dp_71,1,0.8350,0.8380,0.9578
26,df_to_dp_72,1,0.7700,0.7497,0.9688
27,df_to_dp_73,1,0.7300,0.7208,0.9316
28,df_to_dp_74,1,0.6302,0.5423,0.8443
29,df_to_dp_75,1,0.7700,0.7661,0.9401
30,df_to_dp_61,2,0.5250,0.4376,0.9069
31,df_to_dp_62,2,0.6800,0.6293,0.9358
32,df_to_dp_63,2,0.2350,0.0951,0.5757
33,df_to_dp_64,2,0.5050,0.4094,0.9285
34,df_to_dp_65,2,0.5950,0.5468,0.9586
35,df_to_dp_66,2,0.5400,0.4565,0.8446
36,df_to_dp_67,2,0.6100,0.5525,0.9505
37,df_to_dp_68,2,0.5550,0.5480,0.9021
38,df_to_dp_69,2,0.7250,0.7083,0.9432
39,df_to_dp_70,2,0.5900,0.5060,0.8605
40,df_to_dp_71,2,0.6850,0.6731,0.9444
41,df_to_dp_72,2,0.6700,0.6251,0.9413
42,df_to_dp_73,2,0.5750,0.5195,0.9290
43,df_to_dp_74,2,0.5573,0.4666,0.7823
44,df_to_dp_75,2,0.6900,0.6374,0.9292
45,df_to_dp_61,3,0.5950,0.5524,0.8917
46,df_to_dp_62,3,0.6800,0.6097,0.9175
47,df_to_dp_63,3,0.2550,0.1748,0.6146
48,df_to_dp_64,3,0.7300,0.6667,0.8809
49,df_to_dp_65,3,0.7550,0.7326,0.9101
50,df_to_dp_66,3,0.5200,0.4498,0.7923
51,df_to_dp_67,3,0.6850,0.6390,0.8869
52,df_to_dp_68,3,0.6800,0.6494,0.8667
53,df_to_dp_69,3,0.6950,0.6694,0.8861
54,df_to_dp_70,3,0.5100,0.4581,0.7652
55,df_to_dp_71,3,0.8000,0.7989,0.9344
56,df_to_dp_72,3,0.7200,0.6759,0.8826
57,df_to_dp_73,3,0.6700,0.6500,0.9085
58,df_to_dp_74,3,0.5833,0.4736,0.8529
59,df_to_dp_75,3,0.6650,0.5852,0.8690
60,df_to_dp_61,4,0.6400,0.5827,0.8354
61,df_to_dp_62,4,0.7350,0.7266,0.8956
62,df_to_dp_63,4,0.4500,0.4100,0.7492
63,df_to_dp_64,4,0.6900,0.6729,0.8724
64,df_to_dp_65,4,0.6800,0.6482,0.8807
65,df_to_dp_66,4,0.5400,0.5117,0.8109
66,df_to_dp_67,4,0.5500,0.5419,0.7899
67,df_to_dp_68,4,0.6300,0.6496,0.8649
68,df_to_dp_69,4,0.5750,0.5556,0.8252
69,df_to_dp_70,4,0.4100,0.3620,0.7145
70,df_to_dp_71,4,0.7000,0.7029,0.8934
71,df_to_dp_72,4,0.6150,0.6297,0.8522
72,df_to_dp_73,4,0.7850,0.7854,0.9368
73,df_to_dp_74,4,0.5781,0.5053,0.7568
74,df_to_dp_75,4,0.6750,0.6087,0.8870
75,df_to_dp_61,5,0.6650,0.6051,0.8577
76,df_to_dp_62,5,0.5150,0.3963,0.9076
77,df_to_dp_63,5,0.1250,0.1125,0.6044
78,df_to_dp_64,5,0.6200,0.5760,0.8451
79,df_to_dp_65,5,0.6550,0.5966,0.8880
80,df_to_dp_66,5,0.5650,0.5125,0.7451
