,scenario,run,src_risk,few_shot_risk,trg_risk
0,df_to_dp_61,0,0.0030,1.1001,1.2008
1,df_to_dp_62,0,0.0030,1.5455,1.6625
2,df_to_dp_63,0,0.0030,2.1933,2.1883
3,df_to_dp_64,0,0.0030,1.5245,1.8718
4,df_to_dp_65,0,0.0030,0.9264,1.3892
5,df_to_dp_66,0,0.0030,2.2552,2.2125
6,df_to_dp_67,0,0.0030,1.5193,1.8879
7,df_to_dp_68,0,0.0030,1.3187,1.1384
8,df_to_dp_69,0,0.0030,1.3481,1.4543
9,df_to_dp_70,0,0.0030,1.8867,1.8928
10,df_to_dp_71,0,0.0030,1.2515,0.9529
11,df_to_dp_72,0,0.0030,1.5159,1.9093
12,df_to_dp_73,0,0.0030,1.9456,1.9818
13,df_to_dp_74,0,0.0030,3.8392,3.6080
14,df_to_dp_75,0,0.0030,0.8086,1.0958
15,df_to_dp_61,1,0.0038,0.7414,0.7743
16,df_to_dp_62,1,0.0038,0.5874,0.7099
17,df_to_dp_63,1,0.0038,1.7152,1.6774
18,df_to_dp_64,1,0.0038,0.9993,1.1299
19,df_to_dp_65,1,0.0038,0.3143,1.0003
20,df_to_dp_66,1,0.0038,1.7149,2.3302
21,df_to_dp_67,1,0.0038,0.7831,1.0913
22,df_to_dp_68,1,0.0038,3.2508,2.9386
23,df_to_dp_69,1,0.0038,0.6145,0.8012
24,df_to_dp_70,1,0.0038,0.8744,1.1003
25,df_to_dp_71,1,0.0038,0.7316,0.6212
26,df_to_dp_72,1,0.0038,0.8848,0.9608
27,df_to_dp_73,1,0.0038,0.6727,1.0908
28,df_to_dp_74,1,0.0038,1.7196,2.1757
29,df_to_dp_75,1,0.0038,0.5817,0.5310
30,df_to_dp_61,2,0.0121,1.5288,1.4182
31,df_to_dp_62,2,0.0121,1.0323,1.0585
32,df_to_dp_63,2,0.0121,4.9985,4.9264
33,df_to_dp_64,2,0.0121,0.8765,1.4921
34,df_to_dp_65,2,0.0121,1.0845,0.9770
35,df_to_dp_66,2,0.0121,1.5731,1.8351
36,df_to_dp_67,2,0.0121,0.8197,1.1696
37,df_to_dp_68,2,0.0121,0.5248,1.0899
38,df_to_dp_69,2,0.0121,0.7660,0.8599
39,df_to_dp_70,2,0.0121,1.1796,1.4142
40,df_to_dp_71,2,0.0121,0.6131,0.8768
41,df_to_dp_72,2,0.0121,1.4480,1.2624
42,df_to_dp_73,2,0.0121,1.0178,1.3038
43,df_to_dp_74,2,0.0121,2.1038,2.2715
44,df_to_dp_75,2,0.0121,0.7955,0.9694
45,df_to_dp_61,3,0.0054,0.9643,0.9737
46,df_to_dp_62,3,0.0054,0.8832,1.2780
47,df_to_dp_63,3,0.0054,2.6157,2.6712
48,df_to_dp_64,3,0.0054,0.7124,1.0195
49,df_to_dp_65,3,0.0054,0.6453,0.7348
50,df_to_dp_66,3,0.0054,1.4837,1.9053
51,df_to_dp_67,3,0.0054,0.7655,0.8735
52,df_to_dp_68,3,0.0054,0.5739,0.8783
53,df_to_dp_69,3,0.0054,0.6310,0.8354
54,df_to_dp_70,3,0.0054,3.0158,1.8387
55,df_to_dp_71,3,0.0054,0.5037,0.5890
56,df_to_dp_72,3,0.0054,0.6078,0.9919
57,df_to_dp_73,3,0.0054,0.7927,0.9162
58,df_to_dp_74,3,0.0054,1.4633,1.6752
59,df_to_dp_75,3,0.0054,1.2517,1.2939
60,df_to_dp_61,4,0.0060,0.9702,0.9077
61,df_to_dp_62,4,0.0060,0.7850,0.7379
62,df_to_dp_63,4,0.0060,1.1762,1.2058
63,df_to_dp_64,4,0.0060,0.7072,0.7585
64,df_to_dp_65,4,0.0060,0.6756,0.6400
65,df_to_dp_66,4,0.0060,1.1066,1.0348
66,df_to_dp_67,4,0.0060,0.9029,0.9411
67,df_to_dp_68,4,0.0060,0.7737,0.8608
68,df_to_dp_69,4,0.0060,0.6678,0.7974
69,df_to_dp_70,4,0.0060,1.9617,1.6446
70,df_to_dp_71,4,0.0060,0.5550,0.6454
71,df_to_dp_72,4,0.0060,0.4877,0.7235
72,df_to_dp_73,4,0.0060,0.6910,0.6018
73,df_to_dp_74,4,0.0060,1.7375,2.0413
74,df_to_dp_75,4,0.0060,0.8050,0.8765
75,df_to_dp_61,5,0.0112,0.7471,0.8539
76,df_to_dp_62,5,0.0112,3.1730,2.7777
77,df_to_dp_63,5,0.0112,2.0016,1.9632
78,df_to_dp_64,5,0.0112,1.1968,1.7462
79,df_to_dp_65,5,0.0112,0.9546,1.4129
80,df_to_dp_66,5,0.0112,2.0538,2.4341
81,df_to_dp_67,5,0.0112,1.7669,1.8583
82,df_to_dp_68,5,0.0112,2.1485,2.0309
83,df_to_dp_69,5,0.0112,1.2865,1.6942
84,df_to_dp_70,5,0.0112,3.2352,2.9727
85,df_to_dp_71,5,0.0112,1.0753,0.9308
86,df_to_dp_72,5,0.0112,1.5979,1.8957
87,df_to_dp_73,5,0.0112,1.9151,1.7880
88,df_to_dp_74,5,0.0112,3.7980,4.0371
89,df_to_dp_75,5,0.0112,1.8177,1.8981
90,df_to_dp_61,6,0.0038,0.8936,0.9787
91,df_to_dp_62,6,0.0038,1.5699,1.6623
92,df_to_dp_63,6,0.0038,1.4948,1.8264
93,df_to_dp_64,6,0.0038,1.3017,1.6561
94,df_to_dp_65,6,0.0038,1.0350,1.2679
95,df_to_dp_66,6,0.0038,1.7002,1.8093
96,df_to_dp_67,6,0.0038,1.1289,1.4320
97,df_to_dp_68,6,0.0038,0.6199,0.8156
98,df_to_dp_69,6,0.0038,1.3696,1.3765
99,df_to_dp_70,6,0.0038,1.9655,1.8351
100,df_to_dp_71,6,0.0038,0.8365,0.8944
101,df_to_dp_72,6,0.0038,1.3789,1.4564
102,df_to_dp_73,6,0.0038,1.2675,1.4668
103,df_to_dp_74,6,0.0038,3.2377,2.5644
104,df_to_dp_75,6,0.0038,0.6771,0.8822
105,df_to_dp_61,7,0.0061,0.7945,0.9852
106,df_to_dp_62,7,0.0061,0.5308,0.5359
107,df_to_dp_63,7,0.0061,2.7273,2.3870
108,df_to_dp_64,7,0.0061,0.5059,0.5784
109,df_to_dp_65,7,0.0061,0.5459,0.4582
110,df_to_dp_66,7,0.0061,0.7713,1.0903
111,df_to_dp_67,7,0.0061,0.7653,0.8637
112,df_to_dp_68,7,0.0061,2.8387,2.6088
113,df_to_dp_69,7,0.0061,0.5739,0.5928
114,df_to_dp_70,7,0.0061,0.6226,0.9517
115,df_to_dp_71,7,0.0061,0.8111,0.8493
116,df_to_dp_72,7,0.0061,0.9297,0.7842
117,df_to_dp_73,7,0.0061,0.9097,0.8314
118,df_to_dp_74,7,0.0061,2.8669,2.4689
119,df_to_dp_75,7,0.0061,1.3367,1.1761
120,df_to_dp_61,8,0.0061,0.5805,0.7469
121,df_to_dp_62,8,0.0061,1.1028,1.6262
122,df_to_dp_63,8,0.0061,1.8466,1.7885
123,df_to_dp_64,8,0.0061,0.9923,1.5314
124,df_to_dp_65,8,0.0061,0.8938,0.8527
125,df_to_dp_66,8,0.0061,1.6478,1.7090
126,df_to_dp_67,8,0.0061,1.0745,1.2396
127,df_to_dp_68,8,0.0061,1.7181,1.6252
128,df_to_dp_69,8,0.0061,0.8424,1.2166
129,df_to_dp_70,8,0.0061,2.0590,1.6890
130,df_to_dp_71,8,0.0061,0.5699,0.7936
131,df_to_dp_72,8,0.0061,1.4354,1.2616
132,df_to_dp_73,8,0.0061,0.9908,1.2831
133,df_to_dp_74,8,0.0061,1.8005,1.8576
134,df_to_dp_75,8,0.0061,0.9212,1.1324
135,df_to_dp_61,9,0.0169,1.0936,1.3072
136,df_to_dp_62,9,0.0169,2.9563,2.6060
137,df_to_dp_63,9,0.0169,1.6105,1.9928
138,df_to_dp_64,9,0.0169,2.2013,2.2603
139,df_to_dp_65,9,0.0169,1.2281,1.7187
140,df_to_dp_66,9,0.0169,2.7338,2.8830
141,df_to_dp_67,9,0.0169,2.0416,2.6272
142,df_to_dp_68,9,0.0169,2.9891,2.7803
143,df_to_dp_69,9,0.0169,1.9584,2.0399
144,df_to_dp_70,9,0.0169,2.5592,2.6877
145,df_to_dp_71,9,0.0169,0.6772,1.3402
146,df_to_dp_72,9,0.0169,1.7765,2.1199
147,df_to_dp_73,9,0.0169,1.9257,2.3738
148,df_to_dp_74,9,0.0169,3.1157,2.7345
149,df_to_dp_75,9,0.0169,1.6890,1.9226
150,mean,-,0.0074,1.3883,1.4955
151,std,-,0.0043,0.8149,0.7340
