,scenario,run,acc,f1_score,auroc
0,syn_61_to_dp_61,0,0.6850,0.6245,0.9122
1,syn_61_to_dp_61,1,0.5050,0.4151,0.8478
2,syn_61_to_dp_61,2,0.7000,0.6523,0.9021
3,syn_61_to_dp_61,3,0.6550,0.5954,0.8550
4,syn_61_to_dp_61,4,0.6600,0.6595,0.9068
5,syn_61_to_dp_61,5,0.6650,0.6610,0.9118
6,syn_61_to_dp_61,6,0.5000,0.4627,0.8652
7,syn_61_to_dp_61,7,0.6350,0.6241,0.8815
8,syn_61_to_dp_61,8,0.6550,0.6013,0.8821
9,syn_61_to_dp_61,9,0.7250,0.7247,0.9289
10,syn_62_to_dp_62,0,0.5450,0.5133,0.7630
11,syn_62_to_dp_62,1,0.5400,0.4910,0.8011
12,syn_62_to_dp_62,2,0.4450,0.3957,0.7551
13,syn_62_to_dp_62,3,0.5150,0.4423,0.7954
14,syn_62_to_dp_62,4,0.4000,0.3547,0.7505
15,syn_62_to_dp_62,5,0.5200,0.4757,0.7768
16,syn_62_to_dp_62,6,0.6050,0.5381,0.8331
17,syn_62_to_dp_62,7,0.5300,0.4489,0.8037
18,syn_62_to_dp_62,8,0.5100,0.4627,0.7934
19,syn_62_to_dp_62,9,0.5150,0.4512,0.8037
20,syn_63_to_dp_63,0,0.5150,0.4580,0.8155
21,syn_63_to_dp_63,1,0.5700,0.5109,0.8367
22,syn_63_to_dp_63,2,0.5350,0.4759,0.8212
23,syn_63_to_dp_63,3,0.5650,0.5130,0.8289
24,syn_63_to_dp_63,4,0.5600,0.5049,0.8266
25,syn_63_to_dp_63,5,0.5250,0.4639,0.8310
26,syn_63_to_dp_63,6,0.5150,0.4520,0.8338
27,syn_63_to_dp_63,7,0.5050,0.4701,0.8191
28,syn_63_to_dp_63,8,0.6250,0.5607,0.8495
29,syn_63_to_dp_63,9,0.6000,0.5413,0.8159
30,syn_64_to_dp_64,0,0.4850,0.4441,0.7532
31,syn_64_to_dp_64,1,0.4700,0.4603,0.7438
32,syn_64_to_dp_64,2,0.5300,0.4745,0.7525
33,syn_64_to_dp_64,3,0.4850,0.4527,0.7597
34,syn_64_to_dp_64,4,0.5300,0.4638,0.7627
35,syn_64_to_dp_64,5,0.5250,0.4551,0.6936
36,syn_64_to_dp_64,6,0.5050,0.4503,0.7561
37,syn_64_to_dp_64,7,0.5150,0.4550,0.7560
38,syn_64_to_dp_64,8,0.5150,0.4609,0.7477
39,syn_64_to_dp_64,9,0.5200,0.4698,0.7733
40,syn_65_to_dp_65,0,0.6700,0.6061,0.8919
41,syn_65_to_dp_65,1,0.5900,0.5710,0.8739
42,syn_65_to_dp_65,2,0.6850,0.6299,0.9179
43,syn_65_to_dp_65,3,0.6900,0.6968,0.8952
44,syn_65_to_dp_65,4,0.6950,0.6614,0.9161
45,syn_65_to_dp_65,5,0.6800,0.6133,0.8933
46,syn_65_to_dp_65,6,0.6750,0.6665,0.9241
47,syn_65_to_dp_65,7,0.6000,0.5790,0.8730
48,syn_65_to_dp_65,8,0.6600,0.6363,0.8897
49,syn_65_to_dp_65,9,0.7050,0.6739,0.9187
50,syn_66_to_dp_66,0,0.5850,0.5305,0.8464
51,syn_66_to_dp_66,1,0.6850,0.6605,0.8891
52,syn_66_to_dp_66,2,0.6250,0.5865,0.8433
53,syn_66_to_dp_66,3,0.5650,0.4970,0.8566
54,syn_66_to_dp_66,4,0.6500,0.6206,0.8803
55,syn_66_to_dp_66,5,0.6350,0.6157,0.8756
56,syn_66_to_dp_66,6,0.6200,0.5528,0.8816
57,syn_66_to_dp_66,7,0.6400,0.5695,0.8355
58,syn_66_to_dp_66,8,0.6250,0.5955,0.8652
59,syn_66_to_dp_66,9,0.5350,0.4637,0.8733
60,syn_67_to_dp_67,0,0.5100,0.4707,0.7484
61,syn_67_to_dp_67,1,0.4400,0.4213,0.7721
62,syn_67_to_dp_67,2,0.4650,0.4214,0.7523
63,syn_67_to_dp_67,3,0.5500,0.4859,0.8572
64,syn_67_to_dp_67,4,0.4350,0.3995,0.7582
65,syn_67_to_dp_67,5,0.4750,0.3755,0.6623
66,syn_67_to_dp_67,6,0.3950,0.3490,0.7637
67,syn_67_to_dp_67,7,0.5750,0.5137,0.8151
68,syn_67_to_dp_67,8,0.5000,0.4578,0.7811
69,syn_67_to_dp_67,9,0.5350,0.5104,0.7823
70,syn_68_to_dp_68,0,0.6500,0.5723,0.8821
71,syn_68_to_dp_68,1,0.6700,0.5957,0.8763
72,syn_68_to_dp_68,2,0.6550,0.6214,0.8924
73,syn_68_to_dp_68,3,0.6400,0.5548,0.8637
74,syn_68_to_dp_68,4,0.4400,0.3275,0.7639
75,syn_68_to_dp_68,5,0.6050,0.5359,0.8898
76,syn_68_to_dp_68,6,0.5900,0.5261,0.7992
77,syn_68_to_dp_68,7,0.6600,0.5841,0.8562
78,syn_68_to_dp_68,8,0.6700,0.6166,0.8729
79,syn_68_to_dp_68,9,0.5450,0.4718,0.8110
80,syn_69_to_dp_69,0,0.6400,0.5855,0.8899
81,syn_69_to_dp_69,1,0.5650,0.5217,0.8647
82,syn_69_to_dp_69,2,0.5200,0.5118,0.8396
83,syn_69_to_dp_69,3,0.6300,0.6063,0.8775
84,syn_69_to_dp_69,4,0.5900,0.5366,0.8819
85,syn_69_to_dp_69,5,0.5700,0.4960,0.9015
86,syn_69_to_dp_69,6,0.5800,0.5511,0.8254
87,syn_69_to_dp_69,7,0.6550,0.5976,0.9019
88,syn_69_to_dp_69,8,0.5900,0.5205,0.8968
89,syn_69_to_dp_69,9,0.4900,0.3801,0.8438
90,syn_70_to_dp_70,0,0.4650,0.4115,0.7578
91,syn_70_to_dp_70,1,0.4950,0.4826,0.7794
92,syn_70_to_dp_70,2,0.4000,0.3625,0.7515
93,syn_70_to_dp_70,3,0.4400,0.3803,0.7875
94,syn_70_to_dp_70,4,0.3900,0.3321,0.7286
95,syn_70_to_dp_70,5,0.3350,0.3185,0.6924
96,syn_70_to_dp_70,6,0.4350,0.3846,0.7483
97,syn_70_to_dp_70,7,0.4000,0.3343,0.7375
98,syn_70_to_dp_70,8,0.4500,0.4020,0.7684
99,syn_70_to_dp_70,9,0.5150,0.4719,0.7962
100,syn_71_to_dp_71,0,0.6900,0.6177,0.8316
101,syn_71_to_dp_71,1,0.4750,0.4350,0.7234
102,syn_71_to_dp_71,2,0.5650,0.4869,0.6994
103,syn_71_to_dp_71,3,0.6400,0.5676,0.7873
104,syn_71_to_dp_71,4,0.5500,0.4782,0.8671
105,syn_71_to_dp_71,5,0.6150,0.5696,0.8148
106,syn_71_to_dp_71,6,0.5950,0.5743,0.8258
107,syn_71_to_dp_71,7,0.6100,0.5486,0.7946
108,syn_71_to_dp_71,8,0.6000,0.5379,0.7694
109,syn_71_to_dp_71,9,0.5850,0.5158,0.8132
110,syn_72_to_dp_72,0,0.5600,0.4840,0.8593
111,syn_72_to_dp_72,1,0.7200,0.6305,0.9034
112,syn_72_to_dp_72,2,0.5650,0.4922,0.8531
113,syn_72_to_dp_72,3,0.5650,0.4892,0.9038
114,syn_72_to_dp_72,4,0.6700,0.5883,0.9040
115,syn_72_to_dp_72,5,0.5450,0.4616,0.8841
116,syn_72_to_dp_72,6,0.7100,0.6195,0.8934
117,syn_72_to_dp_72,7,0.6750,0.5900,0.8856
118,syn_72_to_dp_72,8,0.4900,0.3687,0.8007
119,syn_72_to_dp_72,9,0.6500,0.5683,0.8849
120,syn_73_to_dp_73,0,0.5650,0.5081,0.8504
121,syn_73_to_dp_73,1,0.6250,0.5639,0.8659
