,scenario,run,acc,f1_score,auroc
0,df_to_dp_61,0,0.5750,0.5035,0.7593
1,df_to_dp_62,0,0.5300,0.4324,0.8796
2,df_to_dp_63,0,0.5000,0.3750,0.8071
3,df_to_dp_64,0,0.6700,0.6119,0.9211
4,df_to_dp_65,0,0.5000,0.3750,0.8509
5,df_to_dp_66,0,0.4300,0.3535,0.6455
6,df_to_dp_67,0,0.5000,0.3345,0.7954
7,df_to_dp_68,0,0.5000,0.3750,0.8241
8,df_to_dp_69,0,0.5000,0.3750,0.8108
9,df_to_dp_70,0,0.5300,0.4695,0.7534
10,df_to_dp_71,0,0.5200,0.4146,0.8201
11,df_to_dp_72,0,0.5350,0.4409,0.7960
12,df_to_dp_73,0,0.5000,0.3867,0.8404
13,df_to_dp_74,0,0.5156,0.4002,0.9218
14,df_to_dp_75,0,0.5000,0.3750,0.7214
15,mean,-,0.5204,0.4149,0.8098
16,std,-,0.0513,0.0706,0.0726
