,scenario,run,src_risk,few_shot_risk,trg_risk
0,df_to_dp_61,0,0.5018,1.2697,1.1428
1,df_to_dp_62,0,0.4634,1.5192,1.6244
2,df_to_dp_63,0,1.2846,1.6719,1.6230
3,df_to_dp_64,0,5.7970,1.1940,1.6079
4,df_to_dp_65,0,1.1034,2.2884,2.3899
5,df_to_dp_66,0,0.3543,2.0488,1.9641
6,df_to_dp_67,0,2.4978,2.0461,1.7951
7,df_to_dp_68,0,0.5497,2.2599,2.2996
8,df_to_dp_69,0,0.3766,3.1450,3.3188
9,df_to_dp_70,0,0.5960,1.5187,1.4365
10,df_to_dp_71,0,0.5008,1.8429,1.9423
11,df_to_dp_72,0,0.3744,1.8208,1.8218
12,df_to_dp_73,0,0.5724,1.5519,1.4272
13,df_to_dp_74,0,4.2471,1.4562,1.4699
14,df_to_dp_75,0,0.8937,2.4340,2.4795
15,mean,-,1.3409,1.8712,1.8895
16,std,-,1.6189,0.5149,0.5480
