,scenario,run,acc,f1_score,auroc
0,df_to_dp_61,0,0.7450,0.6949,0.9764
1,df_to_dp_62,0,0.4600,0.3929,0.7238
2,df_to_dp_63,0,0.2750,0.2811,0.5432
3,df_to_dp_64,0,0.9300,0.9304,0.9836
4,df_to_dp_65,0,0.8100,0.8023,0.9915
5,df_to_dp_66,0,0.5100,0.5110,0.7292
6,df_to_dp_67,0,0.4750,0.4148,0.8719
7,df_to_dp_68,0,0.6750,0.6266,0.8083
8,df_to_dp_69,0,0.6000,0.5419,0.7859
9,df_to_dp_70,0,0.3800,0.3893,0.6068
10,df_to_dp_71,0,0.7200,0.6260,0.9534
11,df_to_dp_72,0,0.7700,0.7273,0.9855
12,df_to_dp_73,0,0.8250,0.8259,0.9681
13,df_to_dp_74,0,0.5833,0.5665,0.8529
14,df_to_dp_75,0,0.9050,0.9061,0.9852
15,mean,-,0.6442,0.6158,0.8510
16,std,-,0.1955,0.1988,0.1477
