,scenario,run,acc,f1_score,auroc
0,df_to_dp_61,0,0.5650,0.5059,0.8949
1,df_to_dp_62,0,0.6800,0.6124,0.8662
2,df_to_dp_63,0,0.4600,0.3594,0.7041
3,df_to_dp_64,0,0.6150,0.5761,0.9181
4,df_to_dp_65,0,0.7250,0.7127,0.9141
5,df_to_dp_66,0,0.4900,0.4195,0.8084
6,df_to_dp_67,0,0.7150,0.6394,0.8493
7,df_to_dp_68,0,0.4250,0.4079,0.6771
8,df_to_dp_69,0,0.6500,0.6447,0.8622
9,df_to_dp_70,0,0.6050,0.5305,0.7276
10,df_to_dp_71,0,0.7850,0.7823,0.9300
11,df_to_dp_72,0,0.7000,0.6687,0.8565
12,df_to_dp_73,0,0.5750,0.5175,0.9108
13,df_to_dp_74,0,0.7292,0.6772,0.8466
14,df_to_dp_75,0,0.7150,0.6986,0.8829
15,mean,-,0.6289,0.5835,0.8433
16,std,-,0.1081,0.1237,0.0800
