,scenario,run,src_risk,few_shot_risk,trg_risk
0,df_to_dp_61,0,11.9891,1.1710,1.1153
1,df_to_dp_62,0,15.9546,1.8710,2.1462
2,df_to_dp_63,0,4.8959,2.8418,2.7990
3,df_to_dp_64,0,22.1191,1.1590,1.2887
4,df_to_dp_65,0,16.0038,0.5599,0.7905
5,df_to_dp_66,0,12.9423,2.2549,2.1857
6,df_to_dp_67,0,14.9933,1.0195,0.9976
7,df_to_dp_68,0,1.9236,2.2452,2.1246
8,df_to_dp_69,0,20.4559,0.8457,0.9087
9,df_to_dp_70,0,12.3948,1.9737,2.6546
10,df_to_dp_71,0,5.9457,0.8841,0.8780
11,df_to_dp_72,0,13.4117,0.7288,1.3211
12,df_to_dp_73,0,16.4186,1.3774,1.5455
13,df_to_dp_74,0,7.4124,0.8875,1.0015
14,df_to_dp_75,0,0.2262,1.1945,1.1416
15,mean,-,11.8058,1.4009,1.5266
16,std,-,6.4634,0.6743,0.6753
