,scenario,run,acc,f1_score,auroc
0,df_to_dp_6,0,0.1000,0.0938,0.4333
1,df_to_dp_7,0,0.5750,0.5731,0.8300
2,df_to_dp_8,0,0.5000,0.4222,0.8175
3,df_to_dp_9,0,0.5000,0.4543,0.8650
4,df_to_dp_10,0,0.6750,0.6656,0.9450
5,df_to_dp_11,0,0.5500,0.5219,0.8258
6,df_to_dp_12,0,0.6250,0.6294,0.8350
7,df_to_dp_13,0,0.5000,0.4288,0.8508
8,df_to_dp_14,0,0.5750,0.5177,0.7942
9,df_to_dp_15,0,0.3500,0.2367,0.6858
10,df_to_dp_16,0,0.5250,0.4237,0.7908
11,df_to_dp_17,0,0.6000,0.5806,0.8583
12,df_to_dp_18,0,0.4000,0.3987,0.7625
13,df_to_dp_19,0,0.4250,0.4066,0.7458
14,df_to_dp_20,0,0.5000,0.3472,0.8175
15,df_to_dp_21,0,0.6750,0.5911,0.8392
16,df_to_dp_22,0,0.3500,0.3504,0.6625
17,df_to_dp_23,0,0.3500,0.2896,0.6600
18,df_to_dp_24,0,0.4500,0.3778,0.8625
19,df_to_dp_25,0,0.4750,0.4692,0.8037
20,df_to_dp_26,0,0.6000,0.5262,0.8758
21,df_to_dp_27,0,0.6000,0.5606,0.7400
22,df_to_dp_28,0,0.5000,0.4561,0.8058
23,df_to_dp_29,0,0.8750,0.8720,0.9500
24,df_to_dp_30,0,0.2000,0.2381,0.4625
25,df_to_dp_31,0,0.5500,0.4860,0.8900
26,df_to_dp_32,0,0.3000,0.1829,0.7254
27,df_to_dp_33,0,0.6000,0.5416,0.9058
28,df_to_dp_34,0,0.4500,0.4443,0.7667
29,df_to_dp_35,0,0.7000,0.6514,0.9400
30,df_to_dp_36,0,0.6000,0.5611,0.8350
31,df_to_dp_37,0,0.6250,0.5929,0.8508
32,df_to_dp_38,0,0.5000,0.4293,0.8500
33,df_to_dp_39,0,0.5250,0.4965,0.7992
34,df_to_dp_40,0,0.4250,0.3421,0.6350
35,df_to_dp_41,0,0.6000,0.5273,0.8792
36,df_to_dp_42,0,0.5750,0.5322,0.8658
37,df_to_dp_43,0,0.5500,0.4839,0.8008
38,df_to_dp_44,0,0.3500,0.2540,0.8200
39,df_to_dp_45,0,0.5750,0.4970,0.7000
40,df_to_dp_46,0,0.5500,0.4612,0.7975
41,df_to_dp_47,0,0.7500,0.6478,0.9142
42,df_to_dp_48,0,0.6250,0.5456,0.9583
43,df_to_dp_49,0,0.2750,0.1518,0.7058
44,df_to_dp_50,0,0.4750,0.4552,0.7142
45,df_to_dp_51,0,0.5000,0.4357,0.7483
46,df_to_dp_52,0,0.5500,0.4801,0.8717
47,df_to_dp_53,0,0.5000,0.3750,0.8433
48,df_to_dp_54,0,0.7000,0.6335,0.9108
49,df_to_dp_55,0,0.7000,0.6524,0.9300
50,df_to_dp_56,0,0.7250,0.7196,0.9533
51,df_to_dp_57,0,0.2500,0.1962,0.5392
52,df_to_dp_58,0,0.4500,0.4057,0.7600
53,df_to_dp_59,0,0.6000,0.5036,0.7958
54,df_to_dp_60,0,0.1500,0.1771,0.3750
55,df_to_dp_61,0,0.4750,0.3618,0.7896
56,df_to_dp_62,0,0.8750,0.8745,1.0000
57,df_to_dp_63,0,0.6500,0.5795,0.8942
58,df_to_dp_64,0,0.5500,0.5041,0.7175
59,df_to_dp_65,0,0.2162,0.1143,0.5894
60,df_to_dp_66,0,0.5750,0.5005,0.7892
61,mean,-,0.5171,0.4628,0.7931
62,std,-,0.1564,0.1625,0.1252
