,scenario,run,src_risk,few_shot_risk,trg_risk
0,df_to_dp_6,0,8.3869,9.3121,7.0929
1,df_to_dp_7,0,4.2689,2.0676,2.7581
2,df_to_dp_8,0,4.3855,2.2262,1.3354
3,df_to_dp_9,0,4.3228,2.6109,2.6876
4,df_to_dp_10,0,1.5727,0.8063,0.8962
5,df_to_dp_11,0,1.9066,1.0484,1.7314
6,df_to_dp_12,0,5.8286,2.0285,2.3135
7,df_to_dp_13,0,2.5385,1.2883,1.3290
8,df_to_dp_14,0,1.4688,2.5749,1.5089
9,df_to_dp_15,0,5.4605,6.1566,4.5367
10,df_to_dp_16,0,5.9596,2.9870,1.9342
11,df_to_dp_17,0,2.7312,1.1442,1.0364
12,df_to_dp_18,0,1.0051,3.0467,1.9075
13,df_to_dp_19,0,3.7741,2.2483,2.7028
14,df_to_dp_20,0,2.6013,2.5243,1.6918
15,df_to_dp_21,0,2.8393,2.7086,3.0063
16,df_to_dp_22,0,2.6366,2.3320,2.3471
17,df_to_dp_23,0,3.5588,5.7210,3.4986
18,df_to_dp_24,0,5.4084,2.2555,2.1962
19,df_to_dp_25,0,6.2062,3.5099,7.1969
20,df_to_dp_26,0,2.0652,1.9514,3.3362
21,df_to_dp_27,0,3.0605,7.6720,11.7766
22,df_to_dp_28,0,1.5185,1.8177,1.8410
23,df_to_dp_29,0,3.8698,1.1927,1.9462
24,df_to_dp_30,0,1.0657,5.1626,7.5490
25,df_to_dp_31,0,1.0774,1.5854,1.3536
26,df_to_dp_32,0,7.9506,10.2840,11.8774
27,df_to_dp_33,0,1.0968,0.9669,1.3850
28,df_to_dp_34,0,1.9623,2.7670,3.7399
29,df_to_dp_35,0,3.4846,1.7703,2.2696
30,df_to_dp_36,0,1.7101,1.0323,2.0499
31,df_to_dp_37,0,2.1151,2.1907,1.5947
32,df_to_dp_38,0,2.1264,1.3495,1.6217
33,df_to_dp_39,0,1.6125,1.7360,2.2255
34,df_to_dp_40,0,1.8706,3.4941,4.9759
35,df_to_dp_41,0,0.7867,1.5049,2.6300
36,df_to_dp_42,0,2.0559,6.0241,9.1703
37,df_to_dp_43,0,5.4047,2.3997,1.7889
38,df_to_dp_44,0,12.8759,8.5346,14.4101
39,df_to_dp_45,0,1.1817,3.3398,3.3621
40,df_to_dp_46,0,5.3261,3.1676,2.0487
41,df_to_dp_47,0,1.5329,1.5127,3.9210
42,df_to_dp_48,0,1.9399,1.0205,2.0026
43,df_to_dp_49,0,2.7776,6.7535,8.3387
44,df_to_dp_50,0,2.0574,3.2598,2.4026
45,df_to_dp_51,0,5.2914,3.4776,5.7043
46,df_to_dp_52,0,5.3548,3.7508,2.9790
47,df_to_dp_53,0,2.6022,1.8149,2.8325
48,df_to_dp_54,0,2.5791,2.0945,5.4006
49,df_to_dp_55,0,3.2725,1.6232,1.8126
50,df_to_dp_56,0,1.1978,0.5798,0.6921
51,df_to_dp_57,0,1.2322,4.6986,3.1091
52,df_to_dp_58,0,0.8414,3.4585,2.6937
53,df_to_dp_59,0,2.3341,3.8716,2.0206
54,df_to_dp_60,0,10.3202,5.4178,4.9218
55,df_to_dp_61,0,2.7899,3.3465,8.1641
56,df_to_dp_62,0,5.4770,0.2382,0.1884
57,df_to_dp_63,0,2.3495,2.7503,1.8544
58,df_to_dp_64,0,54.5007,9.0375,18.4471
59,df_to_dp_65,0,2.7063,13.7619,14.7302
60,df_to_dp_66,0,4.1171,1.8004,1.2799
61,mean,-,4.2025,3.3247,3.9370
62,std,-,6.9543,2.6381,3.7483
