,scenario,run,acc,f1_score,auroc
0,df_to_dp_6,0,0.4500,0.3333,0.7358
1,df_to_dp_7,0,0.6000,0.5756,0.8592
2,df_to_dp_8,0,0.7000,0.6835,0.9125
3,df_to_dp_9,0,0.5250,0.4628,0.8317
4,df_to_dp_10,0,0.5000,0.3851,0.9442
5,df_to_dp_11,0,0.6500,0.5970,0.8458
6,df_to_dp_12,0,0.7000,0.6926,0.8775
7,df_to_dp_13,0,0.7500,0.7099,0.9600
8,df_to_dp_14,0,0.6750,0.6177,0.8250
9,df_to_dp_15,0,0.7750,0.7618,0.9608
10,df_to_dp_16,0,0.7000,0.6249,0.8058
11,df_to_dp_17,0,0.7500,0.6667,0.7646
12,df_to_dp_18,0,0.6250,0.6230,0.7925
13,df_to_dp_19,0,0.6750,0.6071,0.8250
14,df_to_dp_20,0,0.7000,0.6249,0.8246
15,df_to_dp_21,0,0.4500,0.4081,0.6767
16,df_to_dp_22,0,0.5000,0.4128,0.7779
17,df_to_dp_23,0,0.6250,0.6034,0.7567
18,df_to_dp_24,0,0.5750,0.5720,0.8583
19,df_to_dp_25,0,0.3500,0.3255,0.6433
20,df_to_dp_26,0,0.4000,0.3890,0.6483
21,df_to_dp_27,0,0.5250,0.5145,0.8088
22,df_to_dp_28,0,0.4500,0.4047,0.8208
23,df_to_dp_29,0,0.6250,0.6081,0.8533
24,df_to_dp_30,0,0.7250,0.6416,0.7408
25,df_to_dp_31,0,0.6500,0.6204,0.8308
26,df_to_dp_32,0,0.3750,0.3204,0.7075
27,df_to_dp_33,0,0.4250,0.3492,0.8483
28,df_to_dp_34,0,0.4250,0.3280,0.6917
29,df_to_dp_35,0,0.6750,0.5956,0.8642
30,df_to_dp_36,0,0.4750,0.3937,0.7692
31,df_to_dp_37,0,0.4000,0.3329,0.9179
32,df_to_dp_38,0,0.6500,0.5707,0.7867
33,df_to_dp_39,0,0.7500,0.6667,0.8367
34,df_to_dp_40,0,0.6500,0.5846,0.7133
35,df_to_dp_41,0,0.6000,0.5301,0.8592
36,df_to_dp_42,0,0.7500,0.7416,0.8658
37,df_to_dp_43,0,0.6500,0.5780,0.8658
38,df_to_dp_44,0,0.6500,0.6094,0.7583
39,df_to_dp_45,0,0.5500,0.5259,0.7908
40,df_to_dp_46,0,0.5250,0.4737,0.8308
41,df_to_dp_47,0,0.5750,0.5537,0.7775
42,df_to_dp_48,0,0.6250,0.5780,0.8429
43,df_to_dp_49,0,0.6750,0.6129,0.7858
44,df_to_dp_50,0,0.5250,0.4328,0.7725
45,df_to_dp_51,0,0.5500,0.4319,0.8133
46,df_to_dp_52,0,0.6500,0.6475,0.7117
47,df_to_dp_53,0,0.6000,0.5742,0.8850
48,df_to_dp_54,0,0.5250,0.4306,0.8125
49,df_to_dp_55,0,0.6250,0.5458,0.9225
50,df_to_dp_56,0,0.3000,0.3017,0.4750
51,df_to_dp_57,0,0.3250,0.2167,0.7533
52,df_to_dp_58,0,0.5500,0.4700,0.8425
53,df_to_dp_59,0,0.6250,0.5691,0.8017
54,df_to_dp_60,0,0.3250,0.2250,0.8033
55,df_to_dp_61,0,0.6500,0.5998,0.8550
56,df_to_dp_62,0,0.6000,0.5338,0.8158
57,df_to_dp_63,0,0.4750,0.3583,0.7300
58,df_to_dp_64,0,0.3750,0.3325,0.7804
59,df_to_dp_65,0,0.4865,0.3737,0.6560
60,df_to_dp_66,0,0.5500,0.5417,0.7692
61,mean,-,0.5707,0.5147,0.8015
62,std,-,0.1216,0.1324,0.0837
