,scenario,run,src_risk,few_shot_risk,trg_risk
0,df_to_dp_6,0,0.5866,7.1074,7.4153
1,df_to_dp_7,0,0.7756,2.5076,4.0788
2,df_to_dp_8,0,0.5999,1.2188,3.3182
3,df_to_dp_9,0,4.6841,2.6667,5.0226
4,df_to_dp_10,0,0.9749,3.8892,7.2432
5,df_to_dp_11,0,0.0328,3.3879,6.3009
6,df_to_dp_12,0,0.0693,2.2872,5.8096
7,df_to_dp_13,0,0.3449,3.1871,4.4971
8,df_to_dp_14,0,4.6787,9.3583,14.0525
9,df_to_dp_15,0,0.1058,0.9253,1.1125
10,df_to_dp_16,0,1.9906,3.3637,8.0078
11,df_to_dp_17,0,0.6454,5.3972,11.6505
12,df_to_dp_18,0,2.9302,7.9907,11.2369
13,df_to_dp_19,0,0.8475,2.0001,1.5725
14,df_to_dp_20,0,4.3759,5.4542,11.5195
15,df_to_dp_21,0,2.1162,6.0479,7.0570
16,df_to_dp_22,0,12.1828,3.5448,6.4249
17,df_to_dp_23,0,0.1547,4.7823,12.7362
18,df_to_dp_24,0,0.3438,2.2207,2.1159
19,df_to_dp_25,0,0.2678,6.9073,4.4623
20,df_to_dp_26,0,0.6245,4.6752,3.0550
21,df_to_dp_27,0,0.0155,5.9438,8.9309
22,df_to_dp_28,0,2.4563,4.0683,4.1756
23,df_to_dp_29,0,0.9515,7.0099,8.6437
24,df_to_dp_30,0,5.6756,14.5682,30.5921
25,df_to_dp_31,0,0.4720,3.3092,4.1042
26,df_to_dp_32,0,1.6472,8.6497,8.1856
27,df_to_dp_33,0,1.3745,4.6041,6.8584
28,df_to_dp_34,0,1.3360,8.8679,10.0517
29,df_to_dp_35,0,1.5297,3.4067,7.5443
30,df_to_dp_36,0,0.1748,3.9386,2.4354
31,df_to_dp_37,0,3.9338,6.6341,8.9771
32,df_to_dp_38,0,0.0073,4.0137,8.7715
33,df_to_dp_39,0,3.2346,4.8347,10.4006
34,df_to_dp_40,0,4.1628,6.9989,14.1641
35,df_to_dp_41,0,0.0474,4.8297,10.1192
36,df_to_dp_42,0,0.3632,6.4122,2.7077
37,df_to_dp_43,0,0.3120,2.3295,4.7214
38,df_to_dp_44,0,8.4051,3.7183,7.4074
39,df_to_dp_45,0,0.7164,3.1594,3.1313
40,df_to_dp_46,0,0.9406,1.5900,1.4776
41,df_to_dp_47,0,0.1700,3.5555,4.1999
42,df_to_dp_48,0,0.1988,4.3356,9.7228
43,df_to_dp_49,0,5.2273,4.0441,7.5305
44,df_to_dp_50,0,0.0331,5.0283,9.3844
45,df_to_dp_51,0,1.1335,7.6777,4.9680
46,df_to_dp_52,0,0.7653,4.2453,5.4889
47,df_to_dp_53,0,3.8457,1.6271,2.5037
48,df_to_dp_54,0,0.0511,5.2109,10.2349
49,df_to_dp_55,0,0.0085,6.1821,11.7528
50,df_to_dp_56,0,0.7195,11.9495,8.0634
51,df_to_dp_57,0,3.5363,3.5882,3.9666
52,df_to_dp_58,0,1.6761,4.2565,2.5674
53,df_to_dp_59,0,1.9554,4.7336,9.5100
54,df_to_dp_60,0,0.2440,5.2934,4.7613
55,df_to_dp_61,0,0.5638,2.7873,5.8483
56,df_to_dp_62,0,2.3636,4.2670,9.0023
57,df_to_dp_63,0,1.2719,7.3510,11.6252
58,df_to_dp_64,0,37.1281,5.3565,3.9093
59,df_to_dp_65,0,1.5875,15.6157,17.7439
60,df_to_dp_66,0,1.5186,4.1595,3.0895
61,mean,-,2.3129,5.0667,7.3436
62,std,-,5.0407,2.8319,4.7091
