,scenario,run,acc,f1_score,auroc
0,df_to_dp_6,0,0.7750,0.7744,0.9150
1,df_to_dp_7,0,0.4250,0.3446,0.7358
2,df_to_dp_8,0,0.5000,0.3750,0.8017
3,df_to_dp_9,0,0.5000,0.3598,0.7083
4,df_to_dp_10,0,0.5000,0.3750,0.9000
5,df_to_dp_11,0,0.3750,0.3650,0.6175
6,df_to_dp_12,0,0.5250,0.4538,0.7233
7,df_to_dp_13,0,0.5250,0.4187,0.7308
8,df_to_dp_14,0,0.5000,0.3663,0.7600
9,df_to_dp_15,0,0.5000,0.3750,0.6292
10,df_to_dp_16,0,0.5000,0.3782,0.7467
11,df_to_dp_17,0,0.5750,0.4830,0.8025
12,df_to_dp_18,0,0.5000,0.3750,0.7508
13,df_to_dp_19,0,0.4000,0.3927,0.6917
14,df_to_dp_20,0,0.5250,0.4079,0.8517
15,df_to_dp_21,0,0.4500,0.3538,0.6592
16,df_to_dp_22,0,0.3750,0.3107,0.7425
17,df_to_dp_23,0,0.5000,0.3429,0.7625
18,df_to_dp_24,0,0.3750,0.2976,0.6558
19,df_to_dp_25,0,0.2250,0.1468,0.7750
20,df_to_dp_26,0,0.5250,0.4639,0.7750
21,df_to_dp_27,0,0.3000,0.2531,0.6500
22,df_to_dp_28,0,0.4500,0.3799,0.6792
23,df_to_dp_29,0,0.4250,0.3499,0.7408
24,df_to_dp_30,0,0.2500,0.1667,0.5875
25,df_to_dp_31,0,0.5000,0.3367,0.9133
26,df_to_dp_32,0,0.3500,0.2900,0.6917
27,df_to_dp_33,0,0.4500,0.3014,0.7392
28,df_to_dp_34,0,0.4250,0.3707,0.7558
29,df_to_dp_35,0,0.5500,0.4566,0.8683
30,df_to_dp_36,0,0.3750,0.3621,0.7467
31,df_to_dp_37,0,0.4750,0.3654,0.7408
32,df_to_dp_38,0,0.3500,0.3026,0.7433
33,df_to_dp_39,0,0.5000,0.3732,0.8475
34,df_to_dp_40,0,0.2750,0.2548,0.6617
35,df_to_dp_41,0,0.4000,0.3400,0.8183
36,df_to_dp_42,0,0.3750,0.3427,0.7258
37,df_to_dp_43,0,0.4000,0.3273,0.6183
38,df_to_dp_44,0,0.4750,0.3798,0.8483
39,df_to_dp_45,0,0.3500,0.2356,0.8000
40,df_to_dp_46,0,0.5000,0.3816,0.6783
41,df_to_dp_47,0,0.4500,0.4217,0.7500
42,df_to_dp_48,0,0.3250,0.2999,0.6908
43,df_to_dp_49,0,0.4250,0.3056,0.7342
44,df_to_dp_50,0,0.4250,0.3588,0.6558
45,df_to_dp_51,0,0.5250,0.4656,0.7808
46,df_to_dp_52,0,0.4250,0.2847,0.8675
47,df_to_dp_53,0,0.5250,0.4017,0.8650
48,df_to_dp_54,0,0.3250,0.3028,0.7225
49,df_to_dp_55,0,0.5250,0.4578,0.7642
50,df_to_dp_56,0,0.6250,0.5502,0.9008
51,df_to_dp_57,0,0.5000,0.4610,0.8258
52,df_to_dp_58,0,0.4000,0.2986,0.5883
53,df_to_dp_59,0,0.5000,0.3646,0.6758
54,df_to_dp_60,0,0.5250,0.4464,0.7175
55,df_to_dp_61,0,0.3000,0.1887,0.6050
56,df_to_dp_62,0,0.6250,0.5595,0.9275
57,df_to_dp_63,0,0.4500,0.3855,0.7133
58,df_to_dp_64,0,0.6250,0.5714,0.8258
59,df_to_dp_65,0,0.2162,0.1290,0.6009
60,df_to_dp_66,0,0.2500,0.2500,0.6267
61,mean,-,0.4462,0.3645,0.7447
62,std,-,0.1053,0.1037,0.0879
