,scenario,run,src_risk,few_shot_risk,trg_risk
0,df_to_dp_6,0,1.1636,0.5361,0.7567
1,df_to_dp_7,0,2.1841,1.8882,1.6079
2,df_to_dp_8,0,3.5041,2.9153,1.7715
3,df_to_dp_9,0,2.4829,2.8537,1.9644
4,df_to_dp_10,0,3.3448,2.4671,1.4917
5,df_to_dp_11,0,2.1345,2.2786,1.7888
6,df_to_dp_12,0,2.5027,1.8453,1.3931
7,df_to_dp_13,0,1.9963,1.5386,1.3053
8,df_to_dp_14,0,2.0512,2.4043,1.4683
9,df_to_dp_15,0,1.6081,2.7326,1.7870
10,df_to_dp_16,0,2.4999,2.9851,1.8777
11,df_to_dp_17,0,2.3472,1.6052,1.2024
12,df_to_dp_18,0,2.2941,3.2782,2.0917
13,df_to_dp_19,0,1.9576,2.6537,2.2556
14,df_to_dp_20,0,2.4140,1.5973,1.0177
15,df_to_dp_21,0,2.2082,3.9767,2.9413
16,df_to_dp_22,0,5.6027,3.7718,2.7741
17,df_to_dp_23,0,1.6763,2.6362,1.6753
18,df_to_dp_24,0,1.8348,2.4041,2.0204
19,df_to_dp_25,0,4.7712,3.4092,5.6033
20,df_to_dp_26,0,4.3943,1.3235,1.1137
21,df_to_dp_27,0,2.5206,3.6040,4.4712
22,df_to_dp_28,0,2.0128,2.9768,2.5250
23,df_to_dp_29,0,5.2015,3.7396,4.2516
24,df_to_dp_30,0,1.0519,2.7464,3.4038
25,df_to_dp_31,0,2.0177,1.7931,1.1177
26,df_to_dp_32,0,3.5301,6.5579,5.5634
27,df_to_dp_33,0,1.8363,3.3221,2.6693
28,df_to_dp_34,0,5.0511,2.1778,2.5558
29,df_to_dp_35,0,2.3142,1.7905,1.0396
30,df_to_dp_36,0,2.6520,1.6100,1.4234
31,df_to_dp_37,0,2.5631,2.5426,1.6069
32,df_to_dp_38,0,2.0512,1.9372,1.6428
33,df_to_dp_39,0,1.4560,2.5194,1.5827
34,df_to_dp_40,0,2.7847,1.8667,1.4705
35,df_to_dp_41,0,1.3421,1.3488,1.2238
36,df_to_dp_42,0,1.5592,2.3498,1.8213
37,df_to_dp_43,0,1.9727,2.3793,1.6227
38,df_to_dp_44,0,3.6933,2.0771,1.3812
39,df_to_dp_45,0,1.7666,2.9694,2.8225
40,df_to_dp_46,0,1.6510,2.3675,1.6247
41,df_to_dp_47,0,1.3697,1.2358,1.2893
42,df_to_dp_48,0,1.6491,1.9755,1.7533
43,df_to_dp_49,0,2.0162,3.2651,2.3156
44,df_to_dp_50,0,1.5874,2.5930,1.7419
45,df_to_dp_51,0,8.6707,1.5655,1.4950
46,df_to_dp_52,0,2.3969,2.3962,1.5399
47,df_to_dp_53,0,3.2321,0.9602,0.7443
48,df_to_dp_54,0,1.6461,1.7207,2.5763
49,df_to_dp_55,0,2.2503,1.4790,1.0810
50,df_to_dp_56,0,0.9964,0.9428,0.6822
51,df_to_dp_57,0,1.4451,2.2854,1.5840
52,df_to_dp_58,0,1.4974,3.2640,2.4270
53,df_to_dp_59,0,1.5779,2.7952,1.8067
54,df_to_dp_60,0,1.0390,2.0188,1.9890
55,df_to_dp_61,0,1.7325,2.9838,5.2965
56,df_to_dp_62,0,1.9499,0.8994,0.5995
57,df_to_dp_63,0,1.8844,2.6272,1.8322
58,df_to_dp_64,0,9.1256,2.0568,4.0228
59,df_to_dp_65,0,4.9680,8.6191,6.6704
60,df_to_dp_66,0,2.0955,2.0255,2.1469
61,mean,-,2.5759,2.4834,2.1200
62,std,-,1.5830,1.2282,1.2642
