,scenario,run,acc,f1_score,auroc
0,df_to_dp_6,0,0.5250,0.4044,0.8050
1,df_to_dp_7,0,0.6000,0.6007,0.8200
2,df_to_dp_8,0,0.8000,0.7960,0.9283
3,df_to_dp_9,0,0.7000,0.6155,0.7983
4,df_to_dp_10,0,0.7000,0.6106,0.9375
5,df_to_dp_11,0,0.6750,0.5925,0.8425
6,df_to_dp_12,0,0.7250,0.7067,0.8483
7,df_to_dp_13,0,0.7250,0.7045,0.9833
8,df_to_dp_14,0,0.4500,0.3581,0.7367
9,df_to_dp_15,0,0.6750,0.6140,0.9258
10,df_to_dp_16,0,0.6750,0.5971,0.8567
11,df_to_dp_17,0,0.5250,0.4328,0.6975
12,df_to_dp_18,0,0.5500,0.4821,0.9558
13,df_to_dp_19,0,0.5000,0.4224,0.7842
14,df_to_dp_20,0,0.7250,0.6328,0.9658
15,df_to_dp_21,0,0.3750,0.3584,0.7100
16,df_to_dp_22,0,0.6000,0.5500,0.8025
17,df_to_dp_23,0,0.6250,0.6241,0.7992
18,df_to_dp_24,0,0.6500,0.5890,0.8425
19,df_to_dp_25,0,0.2500,0.1411,0.6767
20,df_to_dp_26,0,0.5000,0.4224,0.7875
21,df_to_dp_27,0,0.7250,0.6888,0.9508
22,df_to_dp_28,0,0.7250,0.6707,0.8400
23,df_to_dp_29,0,0.3250,0.2967,0.5717
24,df_to_dp_30,0,0.8500,0.8473,0.9967
25,df_to_dp_31,0,0.5500,0.5649,0.7917
26,df_to_dp_32,0,0.3250,0.2466,0.7250
27,df_to_dp_33,0,0.6500,0.6222,0.8942
28,df_to_dp_34,0,0.3000,0.2107,0.6325
29,df_to_dp_35,0,0.7000,0.6201,0.8933
30,df_to_dp_36,0,0.5250,0.4246,0.8208
31,df_to_dp_37,0,0.7000,0.6167,0.9325
32,df_to_dp_38,0,0.6750,0.5891,0.8992
33,df_to_dp_39,0,0.7500,0.6667,0.8892
34,df_to_dp_40,0,0.6250,0.5628,0.8317
35,df_to_dp_41,0,0.7000,0.6285,0.7533
36,df_to_dp_42,0,0.6000,0.5519,0.8458
37,df_to_dp_43,0,0.5500,0.4685,0.8433
38,df_to_dp_44,0,0.4250,0.3925,0.6617
39,df_to_dp_45,0,0.5750,0.5593,0.8692
40,df_to_dp_46,0,0.5000,0.3750,0.7325
41,df_to_dp_47,0,0.6750,0.6139,0.8742
42,df_to_dp_48,0,0.5750,0.5005,0.7408
43,df_to_dp_49,0,0.5250,0.4527,0.6950
44,df_to_dp_50,0,0.5250,0.4447,0.8200
45,df_to_dp_51,0,0.4000,0.3479,0.7654
46,df_to_dp_52,0,0.6750,0.6424,0.8717
47,df_to_dp_53,0,0.5750,0.4908,0.8442
48,df_to_dp_54,0,0.6500,0.5991,0.8033
49,df_to_dp_55,0,0.6500,0.5605,0.9133
50,df_to_dp_56,0,0.7500,0.6558,0.7700
51,df_to_dp_57,0,0.5500,0.5099,0.8400
52,df_to_dp_58,0,0.5750,0.5245,0.8692
53,df_to_dp_59,0,0.6250,0.5429,0.8917
54,df_to_dp_60,0,0.6250,0.5765,0.8417
55,df_to_dp_61,0,0.7250,0.7249,0.9000
56,df_to_dp_62,0,0.7000,0.6310,0.8450
57,df_to_dp_63,0,0.4750,0.3906,0.7883
58,df_to_dp_64,0,0.3500,0.2516,0.8200
59,df_to_dp_65,0,0.3243,0.2378,0.6778
60,df_to_dp_66,0,0.5000,0.3750,0.6542
61,mean,-,0.5865,0.5235,0.8214
62,std,-,0.1341,0.1469,0.0915
