,scenario,run,src_risk,few_shot_risk,trg_risk
0,df_to_dp_6,0,0.0837,5.0224,5.9936
1,df_to_dp_7,0,0.0405,2.4866,2.4551
2,df_to_dp_8,0,0.1086,0.3606,1.7341
3,df_to_dp_9,0,0.0585,3.2019,6.0794
4,df_to_dp_10,0,0.0495,1.8596,3.9447
5,df_to_dp_11,0,0.0218,2.5044,2.6480
6,df_to_dp_12,0,0.0226,2.3088,4.5019
7,df_to_dp_13,0,0.1354,1.8589,1.9617
8,df_to_dp_14,0,3.2840,4.7483,5.7301
9,df_to_dp_15,0,0.0233,1.5628,1.0739
10,df_to_dp_16,0,0.1407,2.8583,6.1052
11,df_to_dp_17,0,0.0577,4.2923,6.5390
12,df_to_dp_18,0,0.8243,2.5877,2.3036
13,df_to_dp_19,0,1.0507,4.0736,2.6599
14,df_to_dp_20,0,0.1132,2.6993,5.6476
15,df_to_dp_21,0,2.2142,4.5570,6.1378
16,df_to_dp_22,0,4.2368,2.0480,2.7422
17,df_to_dp_23,0,0.0389,2.0138,4.7234
18,df_to_dp_24,0,0.0629,2.5474,2.0864
19,df_to_dp_25,0,4.7408,5.9830,5.1884
20,df_to_dp_26,0,0.4952,5.4926,3.2445
21,df_to_dp_27,0,0.0491,0.9040,0.6430
22,df_to_dp_28,0,0.0247,2.2315,1.5600
23,df_to_dp_29,0,2.7293,7.6297,7.3087
24,df_to_dp_30,0,0.0903,0.5534,0.9169
25,df_to_dp_31,0,0.0314,2.5667,2.1723
26,df_to_dp_32,0,5.0265,6.5312,6.2706
27,df_to_dp_33,0,0.1770,2.4148,3.5581
28,df_to_dp_34,0,5.7111,3.8839,3.8587
29,df_to_dp_35,0,0.0373,2.4728,5.0622
30,df_to_dp_36,0,0.1088,3.4760,4.3800
31,df_to_dp_37,0,2.3672,2.5301,4.3171
32,df_to_dp_38,0,0.0866,2.0235,4.7376
33,df_to_dp_39,0,0.0981,2.7343,5.8113
34,df_to_dp_40,0,0.2462,2.9463,2.1287
35,df_to_dp_41,0,0.0116,3.0134,6.0932
36,df_to_dp_42,0,0.0464,3.0018,2.3115
37,df_to_dp_43,0,0.0451,2.7461,4.4898
38,df_to_dp_44,0,4.7717,3.0958,2.7381
39,df_to_dp_45,0,0.0668,1.9740,1.6911
40,df_to_dp_46,0,0.0193,3.4299,5.9286
41,df_to_dp_47,0,0.1352,2.1607,2.5250
42,df_to_dp_48,0,0.0180,3.5794,6.8415
43,df_to_dp_49,0,2.8788,3.5778,2.4044
44,df_to_dp_50,0,0.0960,3.2374,5.6525
45,df_to_dp_51,0,8.9950,5.5063,3.4436
46,df_to_dp_52,0,0.0308,1.7744,2.3175
47,df_to_dp_53,0,0.0982,2.2868,1.9933
48,df_to_dp_54,0,0.3362,4.0042,5.2592
49,df_to_dp_55,0,0.0375,2.3348,3.7536
50,df_to_dp_56,0,0.0208,3.4169,2.2739
51,df_to_dp_57,0,0.4239,1.4773,2.9505
52,df_to_dp_58,0,0.1480,3.0536,2.0052
53,df_to_dp_59,0,0.0817,2.9413,5.1609
54,df_to_dp_60,0,0.1190,3.2728,5.3694
55,df_to_dp_61,0,0.3635,0.6757,1.3274
56,df_to_dp_62,0,0.1755,3.0671,5.8892
57,df_to_dp_63,0,0.0284,3.9490,5.9519
58,df_to_dp_64,0,17.8025,7.0008,3.7814
59,df_to_dp_65,0,2.1596,9.9649,6.9236
60,df_to_dp_66,0,0.0388,5.3110,6.9748
61,mean,-,1.2055,3.2429,3.9718
62,std,-,2.8130,1.7228,1.8482
