,scenario,run,acc,f1_score,auroc
0,df_to_dp_6,0,0.3750,0.2982,0.7883
1,df_to_dp_7,0,0.2500,0.1000,0.7225
2,df_to_dp_8,0,0.2500,0.1000,0.6408
3,df_to_dp_9,0,0.2500,0.1000,0.6042
4,df_to_dp_10,0,0.2500,0.1000,0.8050
5,df_to_dp_11,0,0.0250,0.0122,0.4383
6,df_to_dp_12,0,0.2500,0.1000,0.6367
7,df_to_dp_13,0,0.2500,0.1000,0.6950
8,df_to_dp_14,0,0.2500,0.1000,0.7033
9,df_to_dp_15,0,0.1000,0.0455,0.4775
10,df_to_dp_16,0,0.3000,0.1875,0.6892
11,df_to_dp_17,0,0.2000,0.0833,0.7558
12,df_to_dp_18,0,0.2500,0.1000,0.6383
13,df_to_dp_19,0,0.2500,0.1000,0.7558
14,df_to_dp_20,0,0.2500,0.1000,0.7050
15,df_to_dp_21,0,0.3000,0.2085,0.6000
16,df_to_dp_22,0,0.3750,0.2699,0.7458
17,df_to_dp_23,0,0.2750,0.1475,0.5842
18,df_to_dp_24,0,0.2500,0.1000,0.7833
19,df_to_dp_25,0,0.3750,0.3015,0.7967
20,df_to_dp_26,0,0.2500,0.1000,0.8275
21,df_to_dp_27,0,0.2500,0.1064,0.6558
22,df_to_dp_28,0,0.2250,0.0957,0.7042
23,df_to_dp_29,0,0.3000,0.1880,0.7900
24,df_to_dp_30,0,0.2500,0.1000,0.5408
25,df_to_dp_31,0,0.2500,0.1000,0.7875
26,df_to_dp_32,0,0.3000,0.1855,0.5208
27,df_to_dp_33,0,0.2500,0.1000,0.7008
28,df_to_dp_34,0,0.3500,0.2386,0.7667
29,df_to_dp_35,0,0.2500,0.1000,0.8508
30,df_to_dp_36,0,0.2500,0.1000,0.7767
31,df_to_dp_37,0,0.2500,0.1000,0.8242
32,df_to_dp_38,0,0.2500,0.1000,0.8083
33,df_to_dp_39,0,0.2500,0.1000,0.7433
34,df_to_dp_40,0,0.2500,0.1000,0.6617
35,df_to_dp_41,0,0.2500,0.1000,0.7025
36,df_to_dp_42,0,0.2750,0.1475,0.7783
37,df_to_dp_43,0,0.2500,0.1000,0.6142
38,df_to_dp_44,0,0.2000,0.0833,0.6550
39,df_to_dp_45,0,0.2500,0.1020,0.6992
40,df_to_dp_46,0,0.2750,0.1475,0.8042
41,df_to_dp_47,0,0.2500,0.1000,0.8367
42,df_to_dp_48,0,0.2500,0.1000,0.8067
43,df_to_dp_49,0,0.2500,0.1000,0.7308
44,df_to_dp_50,0,0.2500,0.1000,0.7042
45,df_to_dp_51,0,0.3250,0.2280,0.7342
46,df_to_dp_52,0,0.2750,0.1475,0.7754
47,df_to_dp_53,0,0.2500,0.1000,0.7167
48,df_to_dp_54,0,0.2500,0.1020,0.7967
49,df_to_dp_55,0,0.2750,0.1475,0.7600
50,df_to_dp_56,0,0.2500,0.1000,0.8392
51,df_to_dp_57,0,0.4250,0.2847,0.6125
52,df_to_dp_58,0,0.1000,0.0455,0.4192
53,df_to_dp_59,0,0.2500,0.1000,0.6925
54,df_to_dp_60,0,0.2500,0.1000,0.7417
55,df_to_dp_61,0,0.2500,0.1000,0.7492
56,df_to_dp_62,0,0.2500,0.1000,0.8042
57,df_to_dp_63,0,0.2500,0.1000,0.7083
58,df_to_dp_64,0,0.2500,0.1020,0.7075
59,df_to_dp_65,0,0.2703,0.1064,0.7690
60,df_to_dp_66,0,0.2500,0.1000,0.6933
61,df_to_dp_6,1,0.5000,0.3348,0.9208
62,df_to_dp_7,1,0.3750,0.2778,0.6242
63,df_to_dp_8,1,0.2750,0.1475,0.7592
64,df_to_dp_9,1,0.2750,0.1475,0.6908
65,df_to_dp_10,1,0.3250,0.2218,0.7500
66,df_to_dp_11,1,0.3250,0.2404,0.5992
67,df_to_dp_12,1,0.3750,0.2778,0.6742
68,df_to_dp_13,1,0.3250,0.2218,0.7867
69,df_to_dp_14,1,0.2750,0.1475,0.7758
70,df_to_dp_15,1,0.3250,0.2373,0.6283
71,df_to_dp_16,1,0.3250,0.2218,0.7842
72,df_to_dp_17,1,0.3000,0.1880,0.8142
73,df_to_dp_18,1,0.5000,0.3750,0.6317
74,df_to_dp_19,1,0.3250,0.2218,0.6842
75,df_to_dp_20,1,0.4500,0.3413,0.7242
76,df_to_dp_21,1,0.3250,0.2470,0.6308
77,df_to_dp_22,1,0.3000,0.2020,0.4075
78,df_to_dp_23,1,0.4250,0.3222,0.6333
79,df_to_dp_24,1,0.5000,0.3750,0.7350
80,df_to_dp_25,1,0.5250,0.4824,0.6275
81,df_to_dp_26,1,0.5000,0.3750,0.6700
82,df_to_dp_27,1,0.4000,0.3011,0.6717
83,df_to_dp_28,1,0.3500,0.2540,0.6300
84,df_to_dp_29,1,0.4750,0.4145,0.6708
85,df_to_dp_30,1,0.2500,0.1833,0.5075
86,df_to_dp_31,1,0.3500,0.2516,0.8583
87,df_to_dp_32,1,0.2250,0.1999,0.4542
88,df_to_dp_33,1,0.2250,0.0938,0.7425
89,df_to_dp_34,1,0.4500,0.3056,0.6883
90,df_to_dp_35,1,0.4250,0.3222,0.8617
91,df_to_dp_36,1,0.5000,0.3750,0.6258
92,df_to_dp_37,1,0.4250,0.3222,0.7117
93,df_to_dp_38,1,0.4500,0.3413,0.6725
94,df_to_dp_39,1,0.5000,0.3750,0.8308
95,df_to_dp_40,1,0.3500,0.2516,0.7058
96,df_to_dp_41,1,0.5000,0.3750,0.8233
97,df_to_dp_42,1,0.5000,0.3589,0.7817
98,df_to_dp_43,1,0.5000,0.3750,0.7267
99,df_to_dp_44,1,0.4000,0.2669,0.6025
100,df_to_dp_45,1,0.3750,0.2778,0.6142
101,df_to_dp_46,1,0.5000,0.3750,0.6975
102,df_to_dp_47,1,0.5000,0.3750,0.7633
103,df_to_dp_48,1,0.4750,0.3588,0.7417
104,df_to_dp_49,1,0.3000,0.1875,0.6550
105,df_to_dp_50,1,0.5000,0.3750,0.6608
106,df_to_dp_51,1,0.2500,0.1667,0.5767
107,df_to_dp_52,1,0.2500,0.1020,0.6867
108,df_to_dp_53,1,0.5000,0.3750,0.8325
109,df_to_dp_54,1,0.4000,0.3016,0.6467
110,df_to_dp_55,1,0.4000,0.3011,0.7417
111,df_to_dp_56,1,0.5000,0.3750,0.9033
112,df_to_dp_57,1,0.5000,0.3750,0.8075
113,df_to_dp_58,1,0.3500,0.2679,0.5492
114,df_to_dp_59,1,0.5000,0.3750,0.7550
115,df_to_dp_60,1,0.5000,0.3750,0.6858
116,df_to_dp_61,1,0.2000,0.1270,0.5950
117,df_to_dp_62,1,0.5000,0.3750,0.7858
118,df_to_dp_63,1,0.5000,0.3750,0.6383
119,df_to_dp_64,1,0.2500,0.1351,0.6833
120,df_to_dp_65,1,0.3784,0.2351,0.8537
121,df_to_dp_66,1,0.5000,0.3750,0.6333
122,df_to_dp_6,2,0.4000,0.2711,0.7650
123,df_to_dp_7,2,0.3500,0.2586,0.6875
124,df_to_dp_8,2,0.5000,0.3921,0.6958
125,df_to_dp_9,2,0.4500,0.3537,0.6342
126,df_to_dp_10,2,0.5000,0.3589,0.8292
127,df_to_dp_11,2,0.2000,0.1279,0.4600
128,df_to_dp_12,2,0.3250,0.2807,0.6333
129,df_to_dp_13,2,0.3500,0.2413,0.6908
130,df_to_dp_14,2,0.3000,0.1801,0.7292
131,df_to_dp_15,2,0.3250,0.2236,0.6142
132,df_to_dp_16,2,0.4500,0.3153,0.6367
133,df_to_dp_17,2,0.4500,0.2991,0.7667
134,df_to_dp_18,2,0.5000,0.3394,0.6408
135,df_to_dp_19,2,0.4250,0.2907,0.7075
136,df_to_dp_20,2,0.4000,0.3011,0.7667
137,df_to_dp_21,2,0.3500,0.2795,0.5917
138,df_to_dp_22,2,0.4500,0.3613,0.8192
139,df_to_dp_23,2,0.4750,0.3182,0.6108
140,df_to_dp_24,2,0.3750,0.2535,0.7758
141,df_to_dp_25,2,0.4750,0.3905,0.6950
142,df_to_dp_26,2,0.5250,0.4462,0.7992
143,df_to_dp_27,2,0.4750,0.3525,0.6867
144,df_to_dp_28,2,0.4000,0.3196,0.7183
145,df_to_dp_29,2,0.4250,0.3344,0.6942
146,df_to_dp_30,2,0.2500,0.1136,0.6233
147,df_to_dp_31,2,0.2750,0.1475,0.7983
148,df_to_dp_32,2,0.3750,0.3273,0.5508
149,df_to_dp_33,2,0.4000,0.2927,0.7217
150,df_to_dp_34,2,0.4500,0.3755,0.7142
151,df_to_dp_35,2,0.5000,0.3367,0.8492
152,df_to_dp_36,2,0.5000,0.3675,0.7967
153,df_to_dp_37,2,0.5500,0.4516,0.8225
154,df_to_dp_38,2,0.4000,0.3149,0.7908
155,df_to_dp_39,2,0.4000,0.3011,0.7733
156,df_to_dp_40,2,0.4500,0.3030,0.7425
157,df_to_dp_41,2,0.2500,0.1000,0.7825
158,df_to_dp_42,2,0.2750,0.1496,0.7358
159,df_to_dp_43,2,0.3500,0.2677,0.6375
160,df_to_dp_44,2,0.5250,0.4357,0.7583
161,df_to_dp_45,2,0.3250,0.2092,0.7383
162,df_to_dp_46,2,0.6500,0.5785,0.8108
163,df_to_dp_47,2,0.3500,0.2444,0.7483
164,df_to_dp_48,2,0.3000,0.1875,0.8167
165,df_to_dp_49,2,0.2500,0.1316,0.7592
166,df_to_dp_50,2,0.2500,0.1000,0.7658
167,df_to_dp_51,2,0.3000,0.1751,0.7025
168,df_to_dp_52,2,0.3500,0.2516,0.7500
169,df_to_dp_53,2,0.3500,0.3002,0.6025
170,df_to_dp_54,2,0.3000,0.1778,0.7592
171,df_to_dp_55,2,0.4250,0.2952,0.7983
172,df_to_dp_56,2,0.3250,0.2111,0.8517
173,df_to_dp_57,2,0.4250,0.3148,0.6817
174,df_to_dp_58,2,0.1000,0.0455,0.4558
175,df_to_dp_59,2,0.3000,0.1833,0.7250
176,df_to_dp_60,2,0.3250,0.2246,0.7042
177,df_to_dp_61,2,0.3500,0.2516,0.7525
178,df_to_dp_62,2,0.6250,0.5595,0.8292
179,df_to_dp_63,2,0.4250,0.3648,0.7800
180,df_to_dp_64,2,0.4000,0.2723,0.6808
181,df_to_dp_65,2,0.2703,0.1064,0.7886
182,df_to_dp_66,2,0.4750,0.3304,0.7450
183,df_to_dp_6,3,0.5000,0.3367,0.8375
184,df_to_dp_7,3,0.3750,0.2500,0.7025
185,df_to_dp_8,3,0.4500,0.2997,0.7017
186,df_to_dp_9,3,0.5000,0.3333,0.7142
187,df_to_dp_10,3,0.5000,0.3750,0.8183
188,df_to_dp_11,3,0.2750,0.1468,0.7067
189,df_to_dp_12,3,0.4250,0.2873,0.7817
190,df_to_dp_13,3,0.4250,0.2847,0.7000
191,df_to_dp_14,3,0.5000,0.3525,0.7325
192,df_to_dp_15,3,0.3250,0.2014,0.6425
193,df_to_dp_16,3,0.5000,0.3333,0.7225
194,df_to_dp_17,3,0.3750,0.2778,0.8075
195,df_to_dp_18,3,0.5000,0.3663,0.6892
196,df_to_dp_19,3,0.3000,0.1806,0.7192
197,df_to_dp_20,3,0.5000,0.3394,0.7783
198,df_to_dp_21,3,0.3750,0.2535,0.6400
199,df_to_dp_22,3,0.4250,0.2949,0.7175
200,df_to_dp_23,3,0.5000,0.3348,0.7225
201,df_to_dp_24,3,0.3000,0.1875,0.7683
202,df_to_dp_25,3,0.3500,0.2222,0.7592
203,df_to_dp_26,3,0.5000,0.3337,0.8508
204,df_to_dp_27,3,0.3000,0.1875,0.7250
205,df_to_dp_28,3,0.3000,0.1746,0.7383
206,df_to_dp_29,3,0.3750,0.2567,0.7133
207,df_to_dp_30,3,0.2500,0.1515,0.5917
208,df_to_dp_31,3,0.3250,0.2218,0.7533
209,df_to_dp_32,3,0.3500,0.2500,0.5567
210,df_to_dp_33,3,0.4500,0.3009,0.7617
211,df_to_dp_34,3,0.4000,0.2798,0.7808
212,df_to_dp_35,3,0.5000,0.3429,0.8650
213,df_to_dp_36,3,0.4500,0.3325,0.8083
214,df_to_dp_37,3,0.5000,0.3750,0.8117
215,df_to_dp_38,3,0.4750,0.3286,0.7458
216,df_to_dp_39,3,0.5000,0.3348,0.7708
217,df_to_dp_40,3,0.2750,0.1475,0.8058
218,df_to_dp_41,3,0.4500,0.3413,0.7908
219,df_to_dp_42,3,0.2500,0.1190,0.7958
220,df_to_dp_43,3,0.3500,0.2444,0.7783
221,df_to_dp_44,3,0.3750,0.2699,0.7958
222,df_to_dp_45,3,0.3250,0.2071,0.8125
223,df_to_dp_46,3,0.5000,0.3429,0.8025
224,df_to_dp_47,3,0.3500,0.2222,0.7983
225,df_to_dp_48,3,0.3000,0.1875,0.7858
226,df_to_dp_49,3,0.4500,0.3255,0.7925
227,df_to_dp_50,3,0.4000,0.2798,0.7767
228,df_to_dp_51,3,0.3000,0.1801,0.7592
229,df_to_dp_52,3,0.3250,0.2218,0.7308
230,df_to_dp_53,3,0.4500,0.3009,0.8842
231,df_to_dp_54,3,0.4000,0.2634,0.7517
232,df_to_dp_55,3,0.5000,0.3472,0.8117
233,df_to_dp_56,3,0.4250,0.3000,0.9017
234,df_to_dp_57,3,0.4250,0.2811,0.6008
235,df_to_dp_58,3,0.2750,0.1457,0.6342
236,df_to_dp_59,3,0.4750,0.3229,0.7833
237,df_to_dp_60,3,0.4250,0.2912,0.6942
238,df_to_dp_61,3,0.3500,0.2444,0.7292
239,df_to_dp_62,3,0.5000,0.3394,0.8833
240,df_to_dp_63,3,0.5000,0.3525,0.8192
241,df_to_dp_64,3,0.3000,0.1855,0.7050
242,df_to_dp_65,3,0.2973,0.1521,0.9140
243,df_to_dp_66,3,0.3250,0.2074,0.7683
244,df_to_dp_6,4,0.5250,0.4237,0.8158
245,df_to_dp_7,4,0.2500,0.1000,0.7417
246,df_to_dp_8,4,0.2500,0.1000,0.6375
247,df_to_dp_9,4,0.4250,0.3000,0.6450
248,df_to_dp_10,4,0.3750,0.2699,0.8208
249,df_to_dp_11,4,0.0500,0.0238,0.4133
250,df_to_dp_12,4,0.2500,0.1000,0.7475
251,df_to_dp_13,4,0.2500,0.1000,0.7133
252,df_to_dp_14,4,0.2500,0.1000,0.7225
253,df_to_dp_15,4,0.1250,0.0556,0.4842
254,df_to_dp_16,4,0.3750,0.2452,0.6892
255,df_to_dp_17,4,0.2250,0.0918,0.7700
256,df_to_dp_18,4,0.3500,0.2444,0.6400
257,df_to_dp_19,4,0.2500,0.1000,0.7467
258,df_to_dp_20,4,0.2750,0.1475,0.6825
259,df_to_dp_21,4,0.3250,0.2389,0.6283
260,df_to_dp_22,4,0.3250,0.2167,0.7758
261,df_to_dp_23,4,0.3500,0.2516,0.6417
262,df_to_dp_24,4,0.2500,0.1000,0.7733
263,df_to_dp_25,4,0.3500,0.2721,0.7833
264,df_to_dp_26,4,0.2500,0.1250,0.8508
265,df_to_dp_27,4,0.2500,0.1136,0.6917
266,df_to_dp_28,4,0.2500,0.1042,0.7092
267,df_to_dp_29,4,0.3750,0.2871,0.7800
268,df_to_dp_30,4,0.2000,0.1053,0.4450
269,df_to_dp_31,4,0.2500,0.1000,0.7817
270,df_to_dp_32,4,0.3500,0.2732,0.5733
271,df_to_dp_33,4,0.2750,0.1475,0.7358
272,df_to_dp_34,4,0.4000,0.3262,0.7733
273,df_to_dp_35,4,0.3500,0.2516,0.8867
274,df_to_dp_36,4,0.2500,0.1000,0.7967
275,df_to_dp_37,4,0.4250,0.3222,0.8458
276,df_to_dp_38,4,0.2500,0.1000,0.8475
277,df_to_dp_39,4,0.3000,0.1875,0.7825
278,df_to_dp_40,4,0.2500,0.1020,0.7425
279,df_to_dp_41,4,0.2500,0.1000,0.7767
280,df_to_dp_42,4,0.2750,0.1475,0.8258
281,df_to_dp_43,4,0.2750,0.1475,0.5717
282,df_to_dp_44,4,0.2500,0.1020,0.6892
283,df_to_dp_45,4,0.2750,0.1496,0.7550
284,df_to_dp_46,4,0.3000,0.1875,0.8050
285,df_to_dp_47,4,0.2500,0.1000,0.8575
286,df_to_dp_48,4,0.2500,0.1000,0.8417
287,df_to_dp_49,4,0.2500,0.1064,0.7333
288,df_to_dp_50,4,0.2500,0.1000,0.7875
289,df_to_dp_51,4,0.4500,0.3641,0.7358
290,df_to_dp_52,4,0.2750,0.1475,0.7875
291,df_to_dp_53,4,0.2500,0.1000,0.8075
292,df_to_dp_54,4,0.2500,0.1020,0.7950
293,df_to_dp_55,4,0.2500,0.1000,0.8033
294,df_to_dp_56,4,0.2500,0.1000,0.7492
295,df_to_dp_57,4,0.4000,0.2744,0.6692
296,df_to_dp_58,4,0.1000,0.0455,0.4342
297,df_to_dp_59,4,0.2500,0.1000,0.7717
298,df_to_dp_60,4,0.2500,0.1000,0.6592
299,df_to_dp_61,4,0.2500,0.1000,0.7475
300,df_to_dp_62,4,0.5000,0.3750,0.8467
301,df_to_dp_63,4,0.2750,0.1475,0.8325
302,df_to_dp_64,4,0.4250,0.2907,0.7150
303,df_to_dp_65,4,0.3514,0.2636,0.7870
304,df_to_dp_66,4,0.2500,0.1000,0.7742
305,df_to_dp_6,5,0.7250,0.6304,0.8550
306,df_to_dp_7,5,0.5000,0.3750,0.6808
307,df_to_dp_8,5,0.5000,0.3429,0.6967
308,df_to_dp_9,5,0.5000,0.3333,0.6350
