,scenario,run,src_risk,few_shot_risk,trg_risk
0,df_to_dp_6,0,9.8757,6.2127,4.4474
1,df_to_dp_7,0,9.8757,6.7203,5.7435
2,df_to_dp_8,0,9.8757,7.2674,5.7103
3,df_to_dp_9,0,9.8757,9.1275,6.4727
4,df_to_dp_10,0,9.8757,5.6191,4.2743
5,df_to_dp_11,0,9.8757,7.9619,6.9173
6,df_to_dp_12,0,9.8757,7.5287,5.9595
7,df_to_dp_13,0,9.8757,8.9244,7.6160
8,df_to_dp_14,0,9.8757,12.6430,10.7881
9,df_to_dp_15,0,9.8757,10.5120,8.6002
10,df_to_dp_16,0,9.8757,7.3805,5.2097
11,df_to_dp_17,0,9.8757,8.3816,7.2431
12,df_to_dp_18,0,9.8757,10.7232,7.9923
13,df_to_dp_19,0,9.8757,7.8109,6.8205
14,df_to_dp_20,0,9.8757,9.0133,6.8069
15,df_to_dp_21,0,9.8757,10.3092,8.0099
16,df_to_dp_22,0,9.8757,4.7142,3.9925
17,df_to_dp_23,0,9.8757,10.1869,7.1586
18,df_to_dp_24,0,9.8757,8.9158,7.5624
19,df_to_dp_25,0,9.8757,6.3841,7.1548
20,df_to_dp_26,0,9.8757,3.9589,3.5058
21,df_to_dp_27,0,9.8757,7.7151,7.1255
22,df_to_dp_28,0,9.8757,8.3170,7.4884
23,df_to_dp_29,0,9.8757,6.1814,6.4512
24,df_to_dp_30,0,9.8757,8.6398,6.0017
25,df_to_dp_31,0,9.8757,10.4828,9.3855
26,df_to_dp_32,0,9.8757,15.6486,15.7339
27,df_to_dp_33,0,9.8757,12.2384,9.4375
28,df_to_dp_34,0,9.8757,5.2353,4.4537
29,df_to_dp_35,0,9.8757,6.8769,4.9829
30,df_to_dp_36,0,9.8757,5.2527,4.0223
31,df_to_dp_37,0,9.8757,6.5930,4.5219
32,df_to_dp_38,0,9.8757,6.6993,5.9048
33,df_to_dp_39,0,9.8757,10.5708,8.1748
34,df_to_dp_40,0,9.8757,5.9964,5.0600
35,df_to_dp_41,0,9.8757,10.0647,8.2732
36,df_to_dp_42,0,9.8757,8.6268,8.3231
37,df_to_dp_43,0,9.8757,7.2230,5.3809
38,df_to_dp_44,0,9.8757,5.1825,4.9397
39,df_to_dp_45,0,9.8757,8.0666,7.9197
40,df_to_dp_46,0,9.8757,6.2858,4.4995
41,df_to_dp_47,0,9.8757,8.0539,7.4158
42,df_to_dp_48,0,9.8757,8.9340,8.3736
43,df_to_dp_49,0,9.8757,12.1174,11.2829
44,df_to_dp_50,0,9.8757,9.6898,8.2127
45,df_to_dp_51,0,9.8757,4.5282,3.3995
46,df_to_dp_52,0,9.8757,9.7352,8.5109
47,df_to_dp_53,0,9.8757,5.1671,4.3717
48,df_to_dp_54,0,9.8757,7.4655,7.0088
49,df_to_dp_55,0,9.8757,6.9472,5.1341
