,scenario,run,acc,f1_score,auroc
0,df_to_dp_6,0,0.3250,0.2563,0.7367
1,df_to_dp_7,0,0.4250,0.4049,0.7817
2,df_to_dp_8,0,0.7250,0.7271,0.8975
3,df_to_dp_9,0,0.4750,0.4112,0.7767
4,df_to_dp_10,0,0.4750,0.3425,0.7175
5,df_to_dp_11,0,0.6000,0.5839,0.8608
6,df_to_dp_12,0,0.5000,0.4886,0.8525
7,df_to_dp_13,0,0.3500,0.2565,0.8900
8,df_to_dp_14,0,0.5000,0.3750,0.7233
9,df_to_dp_15,0,0.6500,0.6240,0.8192
10,df_to_dp_16,0,0.3750,0.2778,0.7708
11,df_to_dp_17,0,0.2500,0.1884,0.5558
12,df_to_dp_18,0,0.3500,0.2516,0.8400
13,df_to_dp_19,0,0.3250,0.3141,0.6642
14,df_to_dp_20,0,0.2500,0.1000,0.8079
15,df_to_dp_21,0,0.5000,0.4293,0.5792
16,df_to_dp_22,0,0.4250,0.3535,0.4875
17,df_to_dp_23,0,0.5750,0.5499,0.7200
18,df_to_dp_24,0,0.5000,0.4118,0.8008
19,df_to_dp_25,0,0.4000,0.3362,0.5950
20,df_to_dp_26,0,0.4000,0.2940,0.6242
21,df_to_dp_27,0,0.5500,0.4937,0.7558
22,df_to_dp_28,0,0.4500,0.4252,0.6867
23,df_to_dp_29,0,0.3750,0.3339,0.5650
24,df_to_dp_30,0,0.4000,0.2624,0.8667
25,df_to_dp_31,0,0.4500,0.4021,0.7217
26,df_to_dp_32,0,0.0250,0.0227,0.2925
27,df_to_dp_33,0,0.2250,0.0957,0.8650
28,df_to_dp_34,0,0.2500,0.1564,0.5333
29,df_to_dp_35,0,0.3500,0.2516,0.7675
30,df_to_dp_36,0,0.4500,0.3538,0.7767
31,df_to_dp_37,0,0.2500,0.1000,0.8883
32,df_to_dp_38,0,0.3250,0.2218,0.8583
33,df_to_dp_39,0,0.6750,0.6106,0.8842
34,df_to_dp_40,0,0.4500,0.3255,0.7558
35,df_to_dp_41,0,0.5250,0.4236,0.8592
36,df_to_dp_42,0,0.5750,0.5435,0.8525
37,df_to_dp_43,0,0.4750,0.3535,0.8067
38,df_to_dp_44,0,0.4250,0.3666,0.6233
39,df_to_dp_45,0,0.5000,0.4372,0.8708
40,df_to_dp_46,0,0.4500,0.4167,0.6467
41,df_to_dp_47,0,0.6000,0.5118,0.8825
42,df_to_dp_48,0,0.5000,0.3889,0.8275
43,df_to_dp_49,0,0.5000,0.3337,0.7558
44,df_to_dp_50,0,0.5750,0.5285,0.7108
45,df_to_dp_51,0,0.2000,0.1118,0.4958
46,df_to_dp_52,0,0.3750,0.3838,0.7117
47,df_to_dp_53,0,0.5750,0.5304,0.8342
48,df_to_dp_54,0,0.2500,0.1020,0.7608
49,df_to_dp_55,0,0.5250,0.4824,0.8675
50,df_to_dp_56,0,0.4500,0.4514,0.7825
51,df_to_dp_57,0,0.5000,0.3414,0.7700
52,df_to_dp_58,0,0.6750,0.5950,0.8100
53,df_to_dp_59,0,0.4750,0.4112,0.7650
54,df_to_dp_60,0,0.5000,0.3943,0.8517
55,df_to_dp_61,0,0.3000,0.1944,0.6800
56,df_to_dp_62,0,0.2500,0.1000,0.9000
57,df_to_dp_63,0,0.4000,0.3258,0.7642
58,df_to_dp_64,0,0.2500,0.1000,0.7883
59,df_to_dp_65,0,0.2703,0.1471,0.6134
60,df_to_dp_66,0,0.4750,0.4016,0.7283
61,df_to_dp_6,1,0.5000,0.4048,0.7992
62,df_to_dp_7,1,0.3500,0.3585,0.7450
63,df_to_dp_8,1,0.6250,0.6167,0.8625
64,df_to_dp_9,1,0.7000,0.6285,0.7508
65,df_to_dp_10,1,0.4750,0.3425,0.7283
66,df_to_dp_11,1,0.6500,0.5633,0.8367
67,df_to_dp_12,1,0.7250,0.7081,0.8433
68,df_to_dp_13,1,0.6500,0.6010,0.9250
69,df_to_dp_14,1,0.4750,0.3654,0.6617
70,df_to_dp_15,1,0.7500,0.7522,0.8992
71,df_to_dp_16,1,0.6250,0.5554,0.8100
72,df_to_dp_17,1,0.3750,0.2950,0.5558
73,df_to_dp_18,1,0.4750,0.3654,0.8475
74,df_to_dp_19,1,0.3750,0.3591,0.5667
75,df_to_dp_20,1,0.5000,0.3750,0.9550
76,df_to_dp_21,1,0.4500,0.3754,0.5842
77,df_to_dp_22,1,0.4250,0.3654,0.5071
78,df_to_dp_23,1,0.7000,0.6828,0.7900
79,df_to_dp_24,1,0.4750,0.3346,0.8242
80,df_to_dp_25,1,0.4250,0.3295,0.6233
81,df_to_dp_26,1,0.2750,0.2559,0.6092
82,df_to_dp_27,1,0.5000,0.4611,0.8075
83,df_to_dp_28,1,0.6000,0.5944,0.7492
84,df_to_dp_29,1,0.4500,0.3945,0.5763
85,df_to_dp_30,1,0.4750,0.3165,0.9692
86,df_to_dp_31,1,0.4500,0.4007,0.6667
87,df_to_dp_32,1,0.0250,0.0125,0.2833
88,df_to_dp_33,1,0.2750,0.1833,0.9467
89,df_to_dp_34,1,0.3000,0.1906,0.5346
90,df_to_dp_35,1,0.4250,0.3497,0.8575
91,df_to_dp_36,1,0.5750,0.5044,0.7717
92,df_to_dp_37,1,0.3000,0.1875,0.8708
93,df_to_dp_38,1,0.4750,0.4097,0.7967
94,df_to_dp_39,1,0.5750,0.4947,0.8700
95,df_to_dp_40,1,0.5000,0.3750,0.6175
96,df_to_dp_41,1,0.6750,0.6074,0.7617
97,df_to_dp_42,1,0.4750,0.4357,0.8100
98,df_to_dp_43,1,0.6000,0.5294,0.8083
99,df_to_dp_44,1,0.3500,0.2922,0.6592
100,df_to_dp_45,1,0.5250,0.4672,0.8558
101,df_to_dp_46,1,0.5000,0.3889,0.6433
102,df_to_dp_47,1,0.4250,0.3939,0.7567
103,df_to_dp_48,1,0.3750,0.3333,0.6633
104,df_to_dp_49,1,0.5000,0.3337,0.6683
105,df_to_dp_50,1,0.5000,0.3929,0.7175
106,df_to_dp_51,1,0.2500,0.1000,0.5671
107,df_to_dp_52,1,0.6750,0.6429,0.7692
108,df_to_dp_53,1,0.6000,0.5318,0.7767
109,df_to_dp_54,1,0.4000,0.3382,0.6300
110,df_to_dp_55,1,0.6250,0.5522,0.8083
111,df_to_dp_56,1,0.6750,0.6180,0.7808
112,df_to_dp_57,1,0.3000,0.1751,0.7950
113,df_to_dp_58,1,0.6500,0.5709,0.8508
114,df_to_dp_59,1,0.3000,0.1761,0.8092
115,df_to_dp_60,1,0.6500,0.5539,0.8258
116,df_to_dp_61,1,0.4750,0.3501,0.7733
117,df_to_dp_62,1,0.4500,0.3413,0.8867
118,df_to_dp_63,1,0.3250,0.2645,0.6883
119,df_to_dp_64,1,0.2500,0.1000,0.8150
120,df_to_dp_65,1,0.2703,0.1429,0.6589
121,df_to_dp_66,1,0.4000,0.2963,0.6550
122,df_to_dp_6,2,0.6000,0.5005,0.7667
123,df_to_dp_7,2,0.4250,0.4053,0.6792
124,df_to_dp_8,2,0.6750,0.6758,0.8392
125,df_to_dp_9,2,0.6000,0.5292,0.7833
126,df_to_dp_10,2,0.2750,0.1708,0.7792
127,df_to_dp_11,2,0.6000,0.5095,0.8192
128,df_to_dp_12,2,0.6750,0.6541,0.7675
129,df_to_dp_13,2,0.6000,0.5320,0.8350
130,df_to_dp_14,2,0.4750,0.3654,0.6900
131,df_to_dp_15,2,0.7000,0.6329,0.8692
132,df_to_dp_16,2,0.4750,0.3757,0.7600
133,df_to_dp_17,2,0.4750,0.3571,0.5700
134,df_to_dp_18,2,0.4750,0.3684,0.7750
135,df_to_dp_19,2,0.3750,0.3770,0.6025
136,df_to_dp_20,2,0.5000,0.3472,0.8567
137,df_to_dp_21,2,0.5000,0.4176,0.6100
138,df_to_dp_22,2,0.4750,0.4283,0.6017
139,df_to_dp_23,2,0.7000,0.6702,0.8158
140,df_to_dp_24,2,0.3500,0.2396,0.7933
141,df_to_dp_25,2,0.3000,0.1887,0.5950
142,df_to_dp_26,2,0.2500,0.2381,0.5433
143,df_to_dp_27,2,0.3750,0.2649,0.7808
144,df_to_dp_28,2,0.4750,0.4804,0.7317
145,df_to_dp_29,2,0.4750,0.3885,0.6325
146,df_to_dp_30,2,0.7000,0.6662,0.9925
147,df_to_dp_31,2,0.4500,0.3542,0.7325
148,df_to_dp_32,2,0.0750,0.0583,0.3150
149,df_to_dp_33,2,0.3000,0.2186,0.9333
150,df_to_dp_34,2,0.4000,0.3000,0.5442
151,df_to_dp_35,2,0.4750,0.3681,0.8433
152,df_to_dp_36,2,0.5000,0.3624,0.7483
153,df_to_dp_37,2,0.3750,0.3000,0.6825
154,df_to_dp_38,2,0.6500,0.5780,0.7633
155,df_to_dp_39,2,0.7500,0.6667,0.8375
156,df_to_dp_40,2,0.5000,0.3750,0.7175
157,df_to_dp_41,2,0.7000,0.6285,0.6975
158,df_to_dp_42,2,0.5250,0.4870,0.8508
159,df_to_dp_43,2,0.5000,0.3663,0.6467
160,df_to_dp_44,2,0.2500,0.2411,0.5433
161,df_to_dp_45,2,0.4500,0.3798,0.8250
162,df_to_dp_46,2,0.5000,0.3750,0.5125
163,df_to_dp_47,2,0.4250,0.3353,0.7942
164,df_to_dp_48,2,0.4750,0.3535,0.6242
165,df_to_dp_49,2,0.4750,0.3165,0.7100
166,df_to_dp_50,2,0.5000,0.3782,0.5850
167,df_to_dp_51,2,0.4000,0.3535,0.6583
168,df_to_dp_52,2,0.6250,0.6142,0.7325
169,df_to_dp_53,2,0.5250,0.4262,0.7742
170,df_to_dp_54,2,0.6000,0.5283,0.6600
171,df_to_dp_55,2,0.5250,0.4424,0.7492
172,df_to_dp_56,2,0.6500,0.6287,0.7592
173,df_to_dp_57,2,0.2750,0.1597,0.7133
174,df_to_dp_58,2,0.5750,0.5000,0.7700
175,df_to_dp_59,2,0.4250,0.3249,0.6517
176,df_to_dp_60,2,0.5000,0.4095,0.6925
177,df_to_dp_61,2,0.5000,0.4073,0.8200
178,df_to_dp_62,2,0.5250,0.4485,0.8967
179,df_to_dp_63,2,0.4500,0.3504,0.6300
180,df_to_dp_64,2,0.2000,0.0833,0.7967
181,df_to_dp_65,2,0.2703,0.1471,0.7737
182,df_to_dp_66,2,0.5000,0.3663,0.6267
183,df_to_dp_6,3,0.4250,0.3725,0.6950
184,df_to_dp_7,3,0.3750,0.3715,0.7650
185,df_to_dp_8,3,0.5750,0.5361,0.8167
186,df_to_dp_9,3,0.6500,0.5846,0.7617
187,df_to_dp_10,3,0.4750,0.3425,0.7867
188,df_to_dp_11,3,0.6500,0.5833,0.8483
189,df_to_dp_12,3,0.6000,0.6007,0.7908
190,df_to_dp_13,3,0.6750,0.6214,0.9075
191,df_to_dp_14,3,0.3500,0.2431,0.6817
192,df_to_dp_15,3,0.8250,0.8298,0.9467
193,df_to_dp_16,3,0.7250,0.6416,0.8150
194,df_to_dp_17,3,0.2000,0.1629,0.4942
195,df_to_dp_18,3,0.4750,0.3654,0.7475
196,df_to_dp_19,3,0.4250,0.3968,0.6200
197,df_to_dp_20,3,0.5000,0.3750,0.8708
198,df_to_dp_21,3,0.4500,0.3716,0.5267
199,df_to_dp_22,3,0.4500,0.3829,0.4504
200,df_to_dp_23,3,0.7000,0.6799,0.7992
201,df_to_dp_24,3,0.5000,0.3333,0.8242
202,df_to_dp_25,3,0.4500,0.3732,0.6188
203,df_to_dp_26,3,0.3750,0.3517,0.6475
204,df_to_dp_27,3,0.5750,0.5721,0.8408
205,df_to_dp_28,3,0.6000,0.5944,0.7725
206,df_to_dp_29,3,0.5250,0.4501,0.6158
207,df_to_dp_30,3,0.6000,0.5155,0.9908
208,df_to_dp_31,3,0.4500,0.3915,0.6467
209,df_to_dp_32,3,0.0500,0.0238,0.3042
210,df_to_dp_33,3,0.3250,0.2477,0.9292
211,df_to_dp_34,3,0.3250,0.2190,0.4783
212,df_to_dp_35,3,0.4750,0.4252,0.8658
213,df_to_dp_36,3,0.5500,0.5267,0.7458
214,df_to_dp_37,3,0.4750,0.3588,0.9025
215,df_to_dp_38,3,0.3750,0.3051,0.7883
216,df_to_dp_39,3,0.5500,0.4286,0.7858
217,df_to_dp_40,3,0.5000,0.3750,0.5933
218,df_to_dp_41,3,0.6750,0.6106,0.8892
219,df_to_dp_42,3,0.5500,0.5379,0.8142
220,df_to_dp_43,3,0.6000,0.5617,0.8242
221,df_to_dp_44,3,0.4500,0.3811,0.6617
222,df_to_dp_45,3,0.5000,0.4372,0.8183
223,df_to_dp_46,3,0.5250,0.4592,0.6708
224,df_to_dp_47,3,0.4750,0.4474,0.7392
225,df_to_dp_48,3,0.4250,0.4059,0.6733
226,df_to_dp_49,3,0.4500,0.3073,0.6325
227,df_to_dp_50,3,0.4000,0.3235,0.7033
228,df_to_dp_51,3,0.3250,0.2218,0.6733
229,df_to_dp_52,3,0.6000,0.5770,0.7150
230,df_to_dp_53,3,0.5250,0.4896,0.7675
231,df_to_dp_54,3,0.4250,0.3547,0.7283
232,df_to_dp_55,3,0.6250,0.5556,0.8350
233,df_to_dp_56,3,0.5000,0.4827,0.7725
234,df_to_dp_57,3,0.3250,0.1996,0.6642
235,df_to_dp_58,3,0.6250,0.5447,0.8375
236,df_to_dp_59,3,0.4500,0.3325,0.7833
237,df_to_dp_60,3,0.6000,0.5241,0.8292
238,df_to_dp_61,3,0.4750,0.3501,0.7758
239,df_to_dp_62,3,0.4000,0.3465,0.7825
240,df_to_dp_63,3,0.4500,0.3958,0.6775
241,df_to_dp_64,3,0.2500,0.1000,0.8600
242,df_to_dp_65,3,0.2703,0.1351,0.5344
243,df_to_dp_66,3,0.3750,0.3151,0.6850
244,df_to_dp_6,4,0.5000,0.4167,0.6758
245,df_to_dp_7,4,0.4250,0.4195,0.7525
246,df_to_dp_8,4,0.6750,0.6758,0.8567
247,df_to_dp_9,4,0.7250,0.6481,0.7400
248,df_to_dp_10,4,0.4750,0.3425,0.8292
249,df_to_dp_11,4,0.6750,0.5967,0.8408
250,df_to_dp_12,4,0.7000,0.6900,0.8033
251,df_to_dp_13,4,0.6250,0.5499,0.8758
252,df_to_dp_14,4,0.3750,0.2557,0.6958
253,df_to_dp_15,4,0.7750,0.7574,0.9008
254,df_to_dp_16,4,0.7000,0.6193,0.7967
255,df_to_dp_17,4,0.5000,0.3952,0.6475
256,df_to_dp_18,4,0.4750,0.3654,0.7033
257,df_to_dp_19,4,0.3500,0.3579,0.5808
258,df_to_dp_20,4,0.5000,0.3750,0.8492
259,df_to_dp_21,4,0.4750,0.3971,0.5692
260,df_to_dp_22,4,0.4000,0.3458,0.5467
261,df_to_dp_23,4,0.6000,0.5471,0.7842
262,df_to_dp_24,4,0.4750,0.3390,0.8292
263,df_to_dp_25,4,0.4500,0.3581,0.5767
264,df_to_dp_26,4,0.2500,0.2381,0.5775
265,df_to_dp_27,4,0.5500,0.5114,0.8892
266,df_to_dp_28,4,0.7000,0.6729,0.7917
267,df_to_dp_29,4,0.4500,0.3945,0.5908
268,df_to_dp_30,4,0.5000,0.3675,0.9800
