,scenario,run,src_risk,few_shot_risk,trg_risk
0,df_to_dp_6,0,0.0064,6.7578,11.5451
1,df_to_dp_7,0,0.0064,3.8014,6.0504
2,df_to_dp_8,0,0.0064,1.1649,2.6552
3,df_to_dp_9,0,0.0064,6.5175,12.7523
4,df_to_dp_10,0,0.0064,6.4387,8.5710
5,df_to_dp_11,0,0.0064,3.0244,2.7897
6,df_to_dp_12,0,0.0064,4.1165,8.7991
7,df_to_dp_13,0,0.0064,4.3334,6.9689
8,df_to_dp_14,0,0.0064,8.0166,10.9627
9,df_to_dp_15,0,0.0064,1.2428,1.2677
10,df_to_dp_16,0,0.0064,6.4091,11.9232
11,df_to_dp_17,0,0.0064,6.5358,11.1243
12,df_to_dp_18,0,0.0064,5.4983,7.2023
13,df_to_dp_19,0,0.0064,4.2520,3.7488
14,df_to_dp_20,0,0.0064,8.5526,13.5125
15,df_to_dp_21,0,0.0064,16.4881,12.5134
16,df_to_dp_22,0,0.0064,25.0246,21.7474
17,df_to_dp_23,0,0.0064,3.9377,9.2416
18,df_to_dp_24,0,0.0064,3.0410,2.5444
19,df_to_dp_25,0,0.0064,19.5828,14.2669
20,df_to_dp_26,0,0.0064,5.6386,6.4882
21,df_to_dp_27,0,0.0064,2.5815,3.0343
22,df_to_dp_28,0,0.0064,4.6257,3.0422
23,df_to_dp_29,0,0.0064,17.5270,15.5731
24,df_to_dp_30,0,0.0064,5.7216,9.9409
25,df_to_dp_31,0,0.0064,3.8044,3.5764
26,df_to_dp_32,0,0.0064,33.0694,27.1079
27,df_to_dp_33,0,0.0064,6.5030,7.4976
28,df_to_dp_34,0,0.0064,24.6788,21.7547
29,df_to_dp_35,0,0.0064,7.3968,11.4183
30,df_to_dp_36,0,0.0064,3.2721,5.7317
31,df_to_dp_37,0,0.0064,9.0441,13.2459
32,df_to_dp_38,0,0.0064,6.8505,11.8446
33,df_to_dp_39,0,0.0064,5.7720,11.2370
34,df_to_dp_40,0,0.0064,4.5055,3.1145
35,df_to_dp_41,0,0.0064,4.8064,9.5797
36,df_to_dp_42,0,0.0064,3.3896,3.6750
37,df_to_dp_43,0,0.0064,4.2912,6.2091
38,df_to_dp_44,0,0.0064,20.5808,15.2658
39,df_to_dp_45,0,0.0064,4.2682,3.1901
40,df_to_dp_46,0,0.0064,5.2512,8.2320
41,df_to_dp_47,0,0.0064,3.6092,6.8256
42,df_to_dp_48,0,0.0064,4.2850,7.9047
43,df_to_dp_49,0,0.0064,7.1099,7.7928
44,df_to_dp_50,0,0.0064,6.4972,11.9387
45,df_to_dp_51,0,0.0064,29.4937,24.9466
46,df_to_dp_52,0,0.0064,4.2629,4.1673
47,df_to_dp_53,0,0.0064,1.5260,2.2980
48,df_to_dp_54,0,0.0064,8.2821,13.0677
49,df_to_dp_55,0,0.0064,5.9098,11.1886
50,df_to_dp_56,0,0.0064,2.4755,2.3748
51,df_to_dp_57,0,0.0064,8.6205,13.9028
52,df_to_dp_58,0,0.0064,3.7796,2.3983
53,df_to_dp_59,0,0.0064,6.0094,11.6379
54,df_to_dp_60,0,0.0064,4.7433,10.9670
55,df_to_dp_61,0,0.0064,8.0253,12.0385
56,df_to_dp_62,0,0.0064,5.9841,9.4821
57,df_to_dp_63,0,0.0064,6.5025,12.3158
58,df_to_dp_64,0,0.0064,23.6386,24.4180
59,df_to_dp_65,0,0.0064,9.7531,11.0482
60,df_to_dp_66,0,0.0064,2.9182,6.2882
61,df_to_dp_6,1,0.0031,6.2221,9.1650
62,df_to_dp_7,1,0.0031,2.3272,4.1501
63,df_to_dp_8,1,0.0031,2.0807,2.4395
64,df_to_dp_9,1,0.0031,4.1339,8.8593
65,df_to_dp_10,1,0.0031,4.7859,6.8938
66,df_to_dp_11,1,0.0031,2.6891,2.6804
67,df_to_dp_12,1,0.0031,3.2833,6.4578
68,df_to_dp_13,1,0.0031,2.1809,4.3937
69,df_to_dp_14,1,0.0031,7.8298,9.1772
70,df_to_dp_15,1,0.0031,1.2245,0.9999
71,df_to_dp_16,1,0.0031,4.0149,8.6933
72,df_to_dp_17,1,0.0031,5.9855,8.2350
73,df_to_dp_18,1,0.0031,4.8144,5.9793
74,df_to_dp_19,1,0.0031,4.5075,3.6657
75,df_to_dp_20,1,0.0031,5.4466,9.1818
76,df_to_dp_21,1,0.0031,16.9576,11.1156
77,df_to_dp_22,1,0.0031,14.8253,14.7651
78,df_to_dp_23,1,0.0031,3.8226,7.0793
79,df_to_dp_24,1,0.0031,3.8925,2.5379
80,df_to_dp_25,1,0.0031,15.1731,10.5541
81,df_to_dp_26,1,0.0031,5.2043,4.1869
82,df_to_dp_27,1,0.0031,2.4509,1.5868
83,df_to_dp_28,1,0.0031,3.3425,2.6096
84,df_to_dp_29,1,0.0031,12.0610,11.7125
85,df_to_dp_30,1,0.0031,2.9377,5.0604
86,df_to_dp_31,1,0.0031,4.7978,3.6548
87,df_to_dp_32,1,0.0031,29.0453,21.6295
88,df_to_dp_33,1,0.0031,3.8244,4.5504
89,df_to_dp_34,1,0.0031,18.1340,14.9789
90,df_to_dp_35,1,0.0031,4.8071,8.0361
91,df_to_dp_36,1,0.0031,2.4256,3.6355
92,df_to_dp_37,1,0.0031,5.7843,9.2625
93,df_to_dp_38,1,0.0031,4.8117,8.6618
94,df_to_dp_39,1,0.0031,3.8220,7.7080
95,df_to_dp_40,1,0.0031,6.6077,4.0929
96,df_to_dp_41,1,0.0031,3.9661,8.4900
97,df_to_dp_42,1,0.0031,3.5651,2.9993
98,df_to_dp_43,1,0.0031,2.4062,3.8362
99,df_to_dp_44,1,0.0031,12.8275,10.4461
100,df_to_dp_45,1,0.0031,3.9189,4.0526
101,df_to_dp_46,1,0.0031,4.2875,6.7739
102,df_to_dp_47,1,0.0031,3.9542,5.5793
103,df_to_dp_48,1,0.0031,5.2854,7.8031
104,df_to_dp_49,1,0.0031,8.3398,8.7413
105,df_to_dp_50,1,0.0031,5.7567,9.4553
106,df_to_dp_51,1,0.0031,18.6503,15.9933
107,df_to_dp_52,1,0.0031,3.2030,3.0086
108,df_to_dp_53,1,0.0031,1.7384,1.2362
109,df_to_dp_54,1,0.0031,4.6315,9.3560
110,df_to_dp_55,1,0.0031,3.9729,7.8673
111,df_to_dp_56,1,0.0031,2.9790,2.1370
112,df_to_dp_57,1,0.0031,8.2942,10.4301
113,df_to_dp_58,1,0.0031,4.6420,2.3954
114,df_to_dp_59,1,0.0031,5.9402,10.2424
115,df_to_dp_60,1,0.0031,3.9205,8.4150
116,df_to_dp_61,1,0.0031,3.9583,6.5347
117,df_to_dp_62,1,0.0031,3.9395,6.8696
118,df_to_dp_63,1,0.0031,5.7238,9.4419
119,df_to_dp_64,1,0.0031,16.5964,16.2404
120,df_to_dp_65,1,0.0031,8.7741,9.5757
121,df_to_dp_66,1,0.0031,2.1040,4.6407
122,df_to_dp_6,2,0.0129,4.5033,8.6543
123,df_to_dp_7,2,0.0129,3.5631,5.5639
124,df_to_dp_8,2,0.0129,2.8305,3.1078
125,df_to_dp_9,2,0.0129,4.5718,9.5611
126,df_to_dp_10,2,0.0129,5.7900,8.6167
127,df_to_dp_11,2,0.0129,2.5706,3.2338
128,df_to_dp_12,2,0.0129,3.6167,7.2761
129,df_to_dp_13,2,0.0129,3.6819,6.7064
130,df_to_dp_14,2,0.0129,8.5150,10.5357
131,df_to_dp_15,2,0.0129,1.3494,1.2821
132,df_to_dp_16,2,0.0129,5.3882,10.0623
133,df_to_dp_17,2,0.0129,5.9068,9.1630
134,df_to_dp_18,2,0.0129,5.8596,7.1390
135,df_to_dp_19,2,0.0129,5.8155,4.4740
136,df_to_dp_20,2,0.0129,5.4727,10.0727
137,df_to_dp_21,2,0.0129,13.5991,10.8189
138,df_to_dp_22,2,0.0129,14.7626,11.1831
139,df_to_dp_23,2,0.0129,3.5458,7.2576
140,df_to_dp_24,2,0.0129,3.4493,2.4666
141,df_to_dp_25,2,0.0129,14.5885,11.5759
142,df_to_dp_26,2,0.0129,8.1118,7.8081
143,df_to_dp_27,2,0.0129,3.0017,4.1668
144,df_to_dp_28,2,0.0129,3.3121,3.3272
145,df_to_dp_29,2,0.0129,9.1607,10.4103
146,df_to_dp_30,2,0.0129,0.9197,0.9181
147,df_to_dp_31,2,0.0129,3.4424,3.1265
148,df_to_dp_32,2,0.0129,28.4719,23.2337
149,df_to_dp_33,2,0.0129,2.9054,4.5309
150,df_to_dp_34,2,0.0129,13.9639,13.2696
151,df_to_dp_35,2,0.0129,5.0119,8.4996
152,df_to_dp_36,2,0.0129,4.3032,6.0457
153,df_to_dp_37,2,0.0129,5.8848,9.4376
154,df_to_dp_38,2,0.0129,5.4476,9.1574
155,df_to_dp_39,2,0.0129,3.9430,8.3878
156,df_to_dp_40,2,0.0129,5.0825,3.1407
157,df_to_dp_41,2,0.0129,4.1335,9.1677
158,df_to_dp_42,2,0.0129,2.7609,3.0536
159,df_to_dp_43,2,0.0129,4.4113,6.5969
160,df_to_dp_44,2,0.0129,14.7112,11.6180
161,df_to_dp_45,2,0.0129,3.2534,4.4099
162,df_to_dp_46,2,0.0129,6.0188,9.7970
163,df_to_dp_47,2,0.0129,3.4927,6.1643
164,df_to_dp_48,2,0.0129,4.8072,8.2664
165,df_to_dp_49,2,0.0129,8.2982,8.1042
166,df_to_dp_50,2,0.0129,6.0503,9.8107
167,df_to_dp_51,2,0.0129,12.9420,9.1826
168,df_to_dp_52,2,0.0129,2.4849,3.0937
169,df_to_dp_53,2,0.0129,2.7894,3.1895
170,df_to_dp_54,2,0.0129,4.2627,8.3008
171,df_to_dp_55,2,0.0129,4.5793,7.8819
172,df_to_dp_56,2,0.0129,2.1101,1.8068
173,df_to_dp_57,2,0.0129,7.6008,8.3723
174,df_to_dp_58,2,0.0129,5.2177,3.6416
175,df_to_dp_59,2,0.0129,6.0420,10.5695
176,df_to_dp_60,2,0.0129,3.5527,9.2028
177,df_to_dp_61,2,0.0129,2.9896,3.7268
178,df_to_dp_62,2,0.0129,3.7745,7.2841
179,df_to_dp_63,2,0.0129,6.0287,9.9459
180,df_to_dp_64,2,0.0129,12.4227,10.1452
181,df_to_dp_65,2,0.0129,6.4063,8.6130
182,df_to_dp_66,2,0.0129,4.0371,6.1609
183,df_to_dp_6,3,0.0111,10.2537,12.0226
184,df_to_dp_7,3,0.0111,3.1860,3.8111
185,df_to_dp_8,3,0.0111,2.8636,3.2867
186,df_to_dp_9,3,0.0111,5.2771,10.7633
187,df_to_dp_10,3,0.0111,4.9344,7.5944
188,df_to_dp_11,3,0.0111,2.0928,2.4682
189,df_to_dp_12,3,0.0111,2.9551,7.4855
190,df_to_dp_13,3,0.0111,2.1015,4.9160
191,df_to_dp_14,3,0.0111,7.7008,11.5684
192,df_to_dp_15,3,0.0111,0.6563,0.9239
193,df_to_dp_16,3,0.0111,4.6257,9.8018
194,df_to_dp_17,3,0.0111,5.8998,8.9855
195,df_to_dp_18,3,0.0111,5.3220,7.4331
196,df_to_dp_19,3,0.0111,3.8023,3.0656
197,df_to_dp_20,3,0.0111,5.8346,10.7358
198,df_to_dp_21,3,0.0111,15.7912,13.3510
199,df_to_dp_22,3,0.0111,13.7752,13.4762
200,df_to_dp_23,3,0.0111,2.9998,7.6594
201,df_to_dp_24,3,0.0111,4.6851,2.8034
202,df_to_dp_25,3,0.0111,17.3623,11.2597
203,df_to_dp_26,3,0.0111,4.2765,2.8956
204,df_to_dp_27,3,0.0111,0.9386,1.0246
205,df_to_dp_28,3,0.0111,3.5811,2.6006
206,df_to_dp_29,3,0.0111,11.8038,12.7091
207,df_to_dp_30,3,0.0111,1.8154,1.4752
208,df_to_dp_31,3,0.0111,5.6615,4.3832
209,df_to_dp_32,3,0.0111,32.6607,27.2992
210,df_to_dp_33,3,0.0111,2.9356,5.3732
211,df_to_dp_34,3,0.0111,17.5929,15.7026
212,df_to_dp_35,3,0.0111,5.0053,9.2766
213,df_to_dp_36,3,0.0111,1.4207,3.0287
214,df_to_dp_37,3,0.0111,5.8897,10.4013
215,df_to_dp_38,3,0.0111,4.9942,9.1419
216,df_to_dp_39,3,0.0111,5.8292,10.7250
217,df_to_dp_40,3,0.0111,8.0417,4.9702
218,df_to_dp_41,3,0.0111,3.4924,7.3858
219,df_to_dp_42,3,0.0111,4.2664,2.9228
220,df_to_dp_43,3,0.0111,2.4714,3.1996
221,df_to_dp_44,3,0.0111,14.0591,9.4322
222,df_to_dp_45,3,0.0111,5.4378,4.7339
223,df_to_dp_46,3,0.0111,3.1294,5.9401
224,df_to_dp_47,3,0.0111,4.2223,4.9677
225,df_to_dp_48,3,0.0111,4.8369,6.6615
226,df_to_dp_49,3,0.0111,6.3749,6.6329
227,df_to_dp_50,3,0.0111,5.6388,9.0871
228,df_to_dp_51,3,0.0111,18.2151,13.1382
229,df_to_dp_52,3,0.0111,4.5025,3.8708
230,df_to_dp_53,3,0.0111,1.9870,1.3189
231,df_to_dp_54,3,0.0111,5.5088,8.6738
232,df_to_dp_55,3,0.0111,3.9046,7.5083
233,df_to_dp_56,3,0.0111,3.8150,3.0923
234,df_to_dp_57,3,0.0111,14.3037,15.9289
235,df_to_dp_58,3,0.0111,4.9040,2.4529
236,df_to_dp_59,3,0.0111,5.0847,9.6219
237,df_to_dp_60,3,0.0111,3.4290,8.3372
238,df_to_dp_61,3,0.0111,4.8866,5.4398
239,df_to_dp_62,3,0.0111,4.8734,9.4563
240,df_to_dp_63,3,0.0111,5.0751,10.0617
241,df_to_dp_64,3,0.0111,18.3140,15.1410
242,df_to_dp_65,3,0.0111,10.8846,11.4775
243,df_to_dp_66,3,0.0111,2.8419,3.5613
244,df_to_dp_6,4,0.0051,7.2755,10.1115
245,df_to_dp_7,4,0.0051,2.6332,4.7584
246,df_to_dp_8,4,0.0051,1.4643,2.7438
247,df_to_dp_9,4,0.0051,4.7490,9.9779
248,df_to_dp_10,4,0.0051,4.6957,7.4037
249,df_to_dp_11,4,0.0051,2.3066,2.6483
250,df_to_dp_12,4,0.0051,3.2166,6.8786
251,df_to_dp_13,4,0.0051,3.1165,5.5840
252,df_to_dp_14,4,0.0051,9.1251,12.1688
253,df_to_dp_15,4,0.0051,1.1475,1.0614
