,scenario,run,acc,f1_score,auroc
0,syn_6_to_dp_6,0,0.7250,0.7099,0.9467
1,syn_6_to_dp_6,1,0.6500,0.6105,0.8800
2,syn_6_to_dp_6,2,0.7000,0.6925,0.9508
3,syn_6_to_dp_6,3,0.6500,0.6330,0.9308
4,syn_6_to_dp_6,4,0.7250,0.7195,0.9242
5,syn_6_to_dp_6,5,0.8000,0.8040,0.9350
6,syn_6_to_dp_6,6,0.6000,0.5514,0.8608
7,syn_6_to_dp_6,7,0.6500,0.6369,0.9117
8,syn_6_to_dp_6,8,0.5500,0.5196,0.8950
9,syn_6_to_dp_6,9,0.8750,0.8747,0.9658
10,syn_7_to_dp_7,0,0.5750,0.5688,0.8667
11,syn_7_to_dp_7,1,0.5500,0.4603,0.8858
12,syn_7_to_dp_7,2,0.4500,0.3839,0.9025
13,syn_7_to_dp_7,3,0.4250,0.3249,0.7925
14,syn_7_to_dp_7,4,0.5000,0.3750,0.8933
15,syn_7_to_dp_7,5,0.5000,0.4101,0.8567
16,syn_7_to_dp_7,6,0.3000,0.2607,0.8075
17,syn_7_to_dp_7,7,0.4500,0.3695,0.8600
18,syn_7_to_dp_7,8,0.5000,0.4825,0.7542
19,syn_7_to_dp_7,9,0.5750,0.5047,0.8483
20,syn_8_to_dp_8,0,0.3250,0.2640,0.7275
21,syn_8_to_dp_8,1,0.4750,0.4303,0.8058
22,syn_8_to_dp_8,2,0.3250,0.2402,0.8000
23,syn_8_to_dp_8,3,0.5500,0.5279,0.8042
24,syn_8_to_dp_8,4,0.3750,0.3013,0.7375
25,syn_8_to_dp_8,5,0.3000,0.2096,0.7250
26,syn_8_to_dp_8,6,0.3500,0.2674,0.7908
27,syn_8_to_dp_8,7,0.2750,0.2179,0.7525
28,syn_8_to_dp_8,8,0.3750,0.3303,0.8083
29,syn_8_to_dp_8,9,0.4250,0.3513,0.7442
30,syn_9_to_dp_9,0,0.6750,0.5968,0.8975
31,syn_9_to_dp_9,1,0.4500,0.3472,0.7517
