,scenario,run,src_risk,few_shot_risk,trg_risk
0,syn_6_to_dp_6,0,0.0052,0.5434,0.4603
1,syn_6_to_dp_6,1,0.0136,1.1701,0.8547
2,syn_6_to_dp_6,2,0.0388,0.7404,0.9696
3,syn_6_to_dp_6,3,0.0649,0.6935,0.9524
4,syn_6_to_dp_6,4,0.0080,0.5956,0.6742
5,syn_6_to_dp_6,5,0.0155,0.6933,0.5715
6,syn_6_to_dp_6,6,0.0151,1.0249,0.8431
7,syn_6_to_dp_6,7,0.0060,0.8545,0.5768
8,syn_6_to_dp_6,8,0.3350,1.2986,2.0999
9,syn_6_to_dp_6,9,0.0392,0.2769,0.3349
10,syn_7_to_dp_7,0,0.0352,0.8803,0.7610
11,syn_7_to_dp_7,1,0.0026,1.6706,0.9241
12,syn_7_to_dp_7,2,0.0008,2.1331,1.1660
13,syn_7_to_dp_7,3,0.0026,2.8128,1.8429
14,syn_7_to_dp_7,4,0.0020,2.3542,1.4597
15,syn_7_to_dp_7,5,0.0012,2.2825,1.3022
16,syn_7_to_dp_7,6,0.0045,2.3480,1.5445
17,syn_7_to_dp_7,7,0.0007,2.7433,1.4001
18,syn_7_to_dp_7,8,0.0859,1.4544,2.0946
19,syn_7_to_dp_7,9,0.0016,1.6271,1.1434
20,syn_8_to_dp_8,0,0.0041,3.7997,2.6812
21,syn_8_to_dp_8,1,0.0012,2.3925,2.7199
22,syn_8_to_dp_8,2,0.0021,3.3717,3.8070
23,syn_8_to_dp_8,3,0.0012,1.8554,2.5800
24,syn_8_to_dp_8,4,0.0019,3.7491,2.9148
25,syn_8_to_dp_8,5,0.0042,2.9926,4.6156
26,syn_8_to_dp_8,6,0.0053,3.1993,3.5265
27,syn_8_to_dp_8,7,0.0010,3.2746,3.0605
28,syn_8_to_dp_8,8,0.0040,2.6254,2.9708
29,syn_8_to_dp_8,9,0.0007,3.0776,2.6350
30,syn_9_to_dp_9,0,0.0146,0.8349,0.8073
31,syn_9_to_dp_9,1,0.0020,2.4910,1.6098
32,syn_9_to_dp_9,2,0.0018,2.4520,1.4670
33,syn_9_to_dp_9,3,0.0026,1.3364,0.9794
34,syn_9_to_dp_9,4,0.0016,2.5921,1.9018
35,syn_9_to_dp_9,5,0.0016,2.5879,1.4842
36,syn_9_to_dp_9,6,0.0012,1.7396,1.1784
37,syn_9_to_dp_9,7,0.1028,1.5386,1.6437
