,scenario,run,acc,f1_score,auroc
0,df_to_dp_6,0,0.4400,0.3409,0.8964
1,df_to_dp_7,0,0.8100,0.7784,0.9742
2,df_to_dp_8,0,0.4750,0.3588,0.9032
3,df_to_dp_9,0,0.4500,0.3413,0.6577
4,df_to_dp_10,0,0.3950,0.3210,0.9220
5,df_to_dp_11,0,0.4250,0.3222,0.9819
6,df_to_dp_12,0,0.3650,0.2818,0.6812
7,df_to_dp_13,0,0.5000,0.3750,0.9074
8,df_to_dp_14,0,0.8750,0.8741,0.9814
9,df_to_dp_15,0,0.7700,0.7684,0.9770
10,df_to_dp_16,0,0.4150,0.3140,0.9279
11,df_to_dp_17,0,0.5000,0.3750,0.8590
12,df_to_dp_18,0,0.5050,0.4248,0.8983
13,df_to_dp_19,0,0.4792,0.3714,0.9242
14,df_to_dp_20,0,0.5000,0.3422,0.9546
15,mean,-,0.5269,0.4393,0.8964
16,std,-,0.1577,0.1944,0.0992
