,scenario,run,src_risk,few_shot_risk,trg_risk
0,df_to_dp_6,0,46.7105,5.6476,5.6062
1,df_to_dp_7,0,30.2383,0.6414,0.8993
2,df_to_dp_8,0,42.0857,5.5562,6.4735
3,df_to_dp_9,0,33.0270,9.8223,11.8274
4,df_to_dp_10,0,38.0538,2.6352,2.9950
5,df_to_dp_11,0,53.1435,8.4523,9.1633
6,df_to_dp_12,0,54.3360,2.4262,2.9453
7,df_to_dp_13,0,36.4836,8.8248,8.8974
8,df_to_dp_14,0,24.5065,0.6083,0.4264
9,df_to_dp_15,0,30.7292,1.0527,0.6498
10,df_to_dp_16,0,40.7614,8.9084,9.7319
11,df_to_dp_17,0,50.2141,14.0651,15.1222
12,df_to_dp_18,0,64.3068,3.8999,3.4943
13,df_to_dp_19,0,19.8900,2.2841,2.5974
14,df_to_dp_20,0,26.3790,2.9248,2.7140
15,mean,-,39.3910,5.1833,5.5696
16,std,-,12.5181,4.0219,4.4707
