,scenario,run,acc,f1_score,auroc
0,df_to_dp_6,0,0.5000,0.3750,0.8516
1,df_to_dp_7,0,0.6200,0.5236,0.9567
2,df_to_dp_8,0,0.2500,0.1008,0.6770
3,df_to_dp_9,0,0.4500,0.3413,0.6045
4,df_to_dp_10,0,0.5000,0.3750,0.7780
5,df_to_dp_11,0,0.5000,0.3750,0.9201
6,df_to_dp_12,0,0.2500,0.1000,0.6170
7,df_to_dp_13,0,0.6200,0.5323,0.9635
8,df_to_dp_14,0,0.5000,0.3714,0.8985
9,df_to_dp_15,0,0.5000,0.3696,0.8028
10,df_to_dp_16,0,0.2500,0.1000,0.5574
11,df_to_dp_17,0,0.5000,0.3750,0.8543
12,df_to_dp_18,0,0.5000,0.3714,0.8334
13,df_to_dp_19,0,0.6510,0.5563,0.8809
14,df_to_dp_20,0,0.5000,0.3482,0.8183
15,mean,-,0.4727,0.3477,0.8009
16,std,-,0.1283,0.1456,0.1296
