,scenario,run,src_risk,few_shot_risk,trg_risk
0,df_to_dp_6,0,18.3951,15.7621,14.1885
1,df_to_dp_7,0,19.5661,2.7040,2.4870
2,df_to_dp_8,0,4.5540,16.7589,17.5443
3,df_to_dp_9,0,16.6606,32.0072,28.9332
4,df_to_dp_10,0,19.1277,19.9802,17.9801
5,df_to_dp_11,0,12.9673,10.0290,9.0749
6,df_to_dp_12,0,42.2671,27.9542,24.6053
7,df_to_dp_13,0,6.8868,3.0901,3.0095
8,df_to_dp_14,0,9.1292,8.7405,7.5440
9,df_to_dp_15,0,15.7643,8.9828,9.0040
10,df_to_dp_16,0,47.3273,36.0907,31.3503
11,df_to_dp_17,0,18.2902,11.4119,11.1502
12,df_to_dp_18,0,11.2997,31.1022,28.4233
13,df_to_dp_19,0,46.5375,2.9081,3.4103
14,df_to_dp_20,0,26.6119,13.8570,12.6376
15,mean,-,21.0257,16.0919,14.7562
16,std,-,13.7949,11.1011,9.7496
