,scenario,run,acc,f1_score,auroc
0,df_to_dp_6,0,0.2550,0.1102,0.9303
1,df_to_dp_7,0,0.5000,0.3750,0.8418
2,df_to_dp_8,0,0.4950,0.3719,0.9306
3,df_to_dp_9,0,0.4650,0.3520,0.7288
4,df_to_dp_10,0,0.2950,0.1800,0.8222
5,df_to_dp_11,0,0.4450,0.3376,0.7682
6,df_to_dp_12,0,0.2650,0.1295,0.6574
7,df_to_dp_13,0,0.5000,0.3750,0.8521
8,df_to_dp_14,0,0.5000,0.3750,0.9243
9,df_to_dp_15,0,0.5000,0.3750,0.8881
10,df_to_dp_16,0,0.2750,0.1475,0.8997
11,df_to_dp_17,0,0.4850,0.3654,0.8677
12,df_to_dp_18,0,0.4450,0.3376,0.8461
13,df_to_dp_19,0,0.4792,0.3641,0.9263
14,df_to_dp_20,0,0.4650,0.3520,0.8838
15,mean,-,0.4246,0.3032,0.8512
16,std,-,0.0970,0.1024,0.0797
