,scenario,run,src_risk,few_shot_risk,trg_risk
0,df_to_dp_6,0,14.3174,5.5888,5.5969
1,df_to_dp_7,0,7.7160,3.3488,3.9710
2,df_to_dp_8,0,9.5258,2.5224,3.0903
3,df_to_dp_9,0,10.0436,3.9208,4.5346
4,df_to_dp_10,0,12.2319,5.4449,5.7578
5,df_to_dp_11,0,11.7597,5.2512,6.0845
6,df_to_dp_12,0,9.5399,3.7571,4.3037
7,df_to_dp_13,0,9.8876,4.3594,4.7427
8,df_to_dp_14,0,7.5126,3.8970,4.5187
9,df_to_dp_15,0,6.9482,4.6986,4.8719
10,df_to_dp_16,0,12.5226,5.8713,6.1915
11,df_to_dp_17,0,11.9716,4.3406,5.0170
12,df_to_dp_18,0,10.7634,4.6354,5.0320
13,df_to_dp_19,0,6.7931,3.0606,3.4533
14,df_to_dp_20,0,10.4776,4.3910,4.4522
15,mean,-,10.1341,4.3392,4.7745
16,std,-,2.2194,0.9565,0.8936
