,scenario,run,acc,f1_score,auroc
0,df_to_dp_6,0,0.5000,0.3679,0.7872
1,df_to_dp_7,0,0.5000,0.3750,0.7309
2,df_to_dp_8,0,0.5000,0.3750,0.5584
3,df_to_dp_9,0,0.5000,0.3732,0.7393
4,df_to_dp_10,0,0.5000,0.3696,0.7240
5,df_to_dp_11,0,0.5000,0.3696,0.7261
6,df_to_dp_12,0,0.5000,0.3750,0.7049
7,df_to_dp_13,0,0.4900,0.3297,0.6768
8,df_to_dp_14,0,0.5000,0.3575,0.7051
9,df_to_dp_15,0,0.5000,0.3503,0.6690
10,df_to_dp_16,0,0.5000,0.3602,0.7884
11,df_to_dp_17,0,0.5000,0.3421,0.7914
12,df_to_dp_18,0,0.5000,0.3732,0.7404
13,df_to_dp_19,0,0.5208,0.3484,0.8252
14,df_to_dp_20,0,0.5000,0.3602,0.6201
15,mean,-,0.5007,0.3618,0.7192
16,std,-,0.0061,0.0139,0.0693
