,scenario,run,src_risk,few_shot_risk,trg_risk
0,df_to_dp_6,0,16.1474,12.0288,10.7300
1,df_to_dp_7,0,11.0840,9.4048,8.3772
2,df_to_dp_8,0,15.2750,11.7238,10.4775
3,df_to_dp_9,0,13.0954,10.8546,9.5189
4,df_to_dp_10,0,14.5286,12.0431,10.8075
5,df_to_dp_11,0,14.9095,12.0165,10.5212
6,df_to_dp_12,0,13.3071,11.5326,10.3789
7,df_to_dp_13,0,13.2407,10.7695,9.6693
8,df_to_dp_14,0,9.2639,10.5975,9.3924
9,df_to_dp_15,0,9.6194,9.3029,8.4752
10,df_to_dp_16,0,15.3181,12.1916,10.6439
11,df_to_dp_17,0,14.5411,11.3559,10.3495
12,df_to_dp_18,0,14.0023,12.6695,11.2539
13,df_to_dp_19,0,11.1834,7.2743,7.1120
14,df_to_dp_20,0,12.5834,11.6552,10.8244
15,mean,-,13.2066,11.0280,9.9021
16,std,-,2.1022,1.4213,1.1490
